Unnamed: 0,ID,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5093,39862186800,4,4,4,4,4,4,4,4,2011
5100,7102523474,25,25,25,25,25,25,25,25,2011
5130,55129240500,5,5,5,5,5,6,6,6,2011
5142,56688395000,3,3,3,4,4,4,4,4,2011
5166,37664307200,6,6,6,6,6,6,6,6,2011
5230,54898040100,3,5,18,18,18,18,18,18,2011
5235,6602751470,1,1,1,1,1,1,1,1,2011
5250,8084702300,26,26,26,26,26,75,75,75,2011
5262,23466949700,7,9,11,11,11,11,11,11,2011
5311,7006517690,3,3,3,3,3,3,3,3,2011
5312,35410055800,5,5,5,5,5,5,5,5,2011
5322,47061674100,5,5,5,5,5,5,5,5,2011
5338,36545188000,2,2,2,2,2,2,2,2,2011
5382,57200633035,4,4,4,4,4,4,4,4,2011
5401,37098975200,3,3,3,3,3,3,3,3,2011
5406,8586315500,1,1,1,1,1,1,1,1,2011
5414,55303290200,4,4,4,4,4,4,4,4,2011
5449,6602663280,3,3,3,3,3,3,25,25,2011
5473,36439147500,5,12,12,12,15,15,18,18,2011
5476,48861163900,2,2,2,2,2,2,2,2,2011
5516,36995367400,5,5,5,5,5,5,5,5,2011
5534,26532118900,4,4,4,4,4,4,4,4,2011
5554,48361767500,2,2,2,2,2,2,2,2,2011
5582,57203081696,1,4,4,4,4,17,17,17,2011
5592,6507765207,8,8,8,8,8,8,8,8,2011
5605,36706694100,5,5,5,5,5,5,19,19,2011
5663,26039562300,17,17,17,17,17,17,17,17,2011
5698,41761162900,1,1,1,1,1,1,1,1,2011
5792,55208388000,2,2,2,2,7,7,10,10,2011
5797,54398330700,4,4,4,4,10,10,17,19,2011
5805,24780073200,10,10,10,10,13,20,20,20,2011
5844,6505523039,5,5,5,5,5,5,5,5,2011
5924,8587492100,3,3,3,3,3,3,3,3,2011
5927,57198938700,53,53,53,53,53,53,53,53,2011
5973,57197639594,13,25,25,25,25,25,25,25,2011
5992,57197938434,7,7,7,7,7,7,7,7,2011
6015,35609181100,2,3,3,3,3,3,3,3,2011
6038,7406717945,2,2,2,2,2,2,2,2,2011
6054,42761951300,2,2,5,5,11,14,14,14,2011
6066,37063659600,3,3,3,3,3,3,3,3,2011
6069,7201663558,3,3,9,9,9,9,9,9,2011
6074,54782448600,2,2,2,2,2,2,2,2,2011
6082,36760648400,5,5,5,5,5,5,5,5,2011
6083,42462110900,3,4,7,10,13,13,13,13,2011
6085,36987475600,7,7,7,7,7,7,7,7,2011
6115,56707319100,5,5,5,5,5,5,5,5,2011
6135,44260904300,2,3,3,4,5,6,7,7,2011
6171,40662172600,4,4,4,4,4,4,4,4,2011
6185,49061486300,3,3,3,3,5,6,6,11,2011
6201,7202808760,1,1,1,1,1,1,1,1,2011
6211,54685294700,17,20,20,20,20,20,20,20,2011
6220,36859280200,2,2,5,23,23,30,31,31,2011
6229,55263489300,2,3,3,4,4,4,4,10,2011
6263,35515050000,8,8,31,31,31,31,31,31,2011
6289,38961378100,7,7,7,7,7,7,7,7,2011
6294,6603282311,2,2,2,2,2,2,2,2,2011
6302,6602491951,7,7,7,7,7,7,7,7,2011
6351,49360917300,5,6,14,14,22,26,30,39,2011
6366,6603827686,10,10,10,10,10,15,15,15,2011
6420,35775650900,32,32,32,32,32,32,32,32,2011
6440,6504590352,6,6,9,9,9,9,9,9,2011
6450,22937296100,8,8,8,8,8,8,8,8,2011
6521,7005066484,3,3,3,3,3,3,3,3,2011
6541,35173725500,3,3,3,3,3,3,3,3,2011
6574,7101919482,3,7,7,9,31,36,38,39,2011
6594,41861650000,4,4,4,4,4,4,4,4,2011
6596,35093318100,3,3,3,3,3,3,3,3,2011
6603,37062186000,2,2,2,3,3,3,3,3,2011
6646,7202484338,21,21,21,21,21,21,21,21,2011
6696,54580710000,2,3,3,3,3,3,3,3,2011
6699,26635447400,5,10,10,10,10,10,10,10,2011
6725,54408044800,5,5,5,5,5,5,5,5,2011
