Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
6406,6601990236,3,5,5,5,15,18,21,21,27,28,33,40,40,45,50,2004
6426,55945746000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
6427,6507022783,28,28,28,28,76,85,91,91,91,91,141,141,224,231,250,2004
6432,6504596932,6,8,8,10,10,10,10,10,14,14,14,15,15,15,15,2004
6474,7006822472,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2004
6478,7007122176,2,7,7,7,7,7,7,7,7,7,7,9,9,9,9,2004
6518,6603467539,28,28,28,28,28,41,49,49,84,84,92,92,92,92,95,2004
6636,7006054988,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
6645,55332181600,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,2004
6661,6506247313,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2004
6721,6602581981,2,2,2,2,2,9,11,14,21,23,23,23,23,23,39,2004
6725,8649940200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
6748,6602340185,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2004
6779,36699303400,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
6895,56207914800,5,5,5,5,24,24,24,24,24,24,26,26,26,26,26,2004
6916,6602758613,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
6961,8834578900,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
7050,7102790108,4,4,4,4,35,35,35,35,35,35,35,35,35,35,35,2004
7053,7003886643,3,6,6,6,6,6,6,6,6,6,6,6,6,6,12,2004
7114,6603436225,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
7277,8527939100,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2004
7322,56229025900,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
7381,6506939623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
7511,55951491100,1,1,1,1,1,2,7,8,10,12,13,17,18,19,21,2004
7520,6506068120,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
7525,57203196605,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
7542,54991396700,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,2004
7545,8581874600,6,14,17,19,28,30,30,32,32,32,32,32,32,32,32,2004
7608,14037737500,2,2,2,2,4,4,4,5,6,6,6,7,7,7,10,2004
7615,9335467900,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
7623,6507906225,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
7634,7005989631,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
7701,6506869036,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
7759,56026485500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
7763,6603215035,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2004
7768,6505983821,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,2004
8095,57198070209,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
8097,9437430200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
8207,7402590507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2004
8243,6508382870,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
8358,35579118100,47,47,47,47,47,47,47,47,47,77,77,160,160,167,167,2004
8379,6701564738,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
8403,6505627247,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
8450,23034164300,2,2,2,2,10,10,19,19,24,27,33,35,46,48,55,2004
8466,57198880067,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
8486,7004840890,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
8490,6603758277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
8599,7103201467,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
8600,6701642469,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
8680,6506734097,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
8695,55217044800,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
8723,24775194900,13,13,13,13,13,13,28,28,28,28,28,28,106,116,116,2004
8738,6603900989,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
8741,6701744681,2,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2004
8770,7006621131,5,5,7,7,12,12,12,12,12,12,12,12,12,12,12,2004
8781,8715832700,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
8831,8235207700,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
8835,23388409100,1,3,4,5,5,6,6,7,7,7,7,7,7,7,7,2004
8843,7201819354,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
8880,6506024854,2,2,2,2,20,20,23,23,45,45,58,58,67,67,67,2004
8899,12645277800,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2004
8908,8357240800,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
8937,7004518289,7,7,14,16,16,16,16,16,16,16,16,16,16,16,16,2004
8939,6701700724,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
9007,6505857020,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
9010,7003775386,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2004
9035,23098252700,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
9071,6506524821,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,2004
9093,7003554262,22,22,22,22,40,40,40,40,40,40,40,40,40,40,40,2004
9122,7201524785,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2004
9125,6508025844,2,2,2,2,4,6,6,6,6,14,14,14,14,16,16,2004
9203,8608758900,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
9223,7003908626,8,12,19,19,19,23,26,28,29,29,33,33,36,38,38,2004
9224,55948240600,8,8,25,25,33,33,96,96,171,190,228,228,250,250,260,2004
9232,6506922416,6,6,6,6,6,6,6,6,31,31,99,99,142,142,179,2004
9375,6507792527,17,21,21,23,23,23,23,23,33,40,40,40,40,48,48,2004
9381,7202243061,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2004
9433,13612974900,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,2004
9466,8321501200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
9473,22734208600,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
9531,7406201835,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2004
9534,56363833000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
9571,6507769267,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,2004
9598,7201637974,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2004
9678,8632901600,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2004
