Unnamed: 0,ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
7474,6701585472,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
7501,6507442359,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2003
7513,7003403579,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2003
7540,7103066538,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2003
7547,6507611896,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
7566,57196655240,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
7570,6506916227,3,3,3,3,3,4,4,4,4,5,5,5,11,12,14,16,2003
7599,7004462935,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2003
7668,6602805987,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
7706,55973621500,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2003
7755,57197981721,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
7799,6506892606,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
7808,22433394500,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,2003
7822,6506315486,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
7823,6507629564,2,2,3,3,3,3,4,4,4,4,4,4,4,4,7,7,2003
7895,55933986500,3,7,7,7,10,10,10,10,10,10,10,10,11,11,11,11,2003
7904,8876204900,2,2,2,2,2,2,5,5,7,10,10,12,18,26,26,28,2003
7909,56276715800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
7937,7401545351,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
8017,57203492018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
8055,56829540600,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,2003
8132,15763468100,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2003
8187,6504777978,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
8196,16019452800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
8252,25123238100,3,3,3,3,3,4,4,4,4,5,5,7,8,11,11,11,2003
8276,8558971000,1,1,10,10,12,12,12,12,12,12,12,12,12,12,12,12,2003
8289,7201604905,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
8344,55663728800,1,1,1,3,3,7,7,7,7,7,7,8,8,8,8,8,2003
8359,23012213900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
8366,7402980719,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,2003
8387,6506276844,9,9,10,10,10,11,11,11,13,13,13,13,13,13,13,13,2003
8400,12805591100,3,5,5,6,6,6,8,8,8,8,11,11,11,13,13,13,2003
8419,6507922904,5,5,5,11,11,11,11,11,15,15,15,15,21,21,21,21,2003
8439,18934964300,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
8459,57014370100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
8464,56993991400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
