ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
36182224400,0,0,1,1,2,2,3,3,3,3
27867732400,14,15,15,15,15,15,16,16,16,16
57196974608,2,8,21,22,22,22,22,23,23,23
15750657400,5,5,5,5,5,5,5,5,5,5
35337532400,0,0,0,0,0,5,5,5,5,5
35426777000,0,0,0,5,8,8,8,8,10,10
7003747065,0,0,0,0,0,0,0,0,28,28
34267543700,0,0,0,0,0,0,0,0,0,5
24605021000,7,16,16,17,17,17,17,17,17,17
36099406900,0,0,0,0,0,5,5,5,5,5
26427626300,0,0,0,0,0,3,3,3,3,3
36608024700,3,6,6,6,6,6,6,6,6,6
36106109500,0,6,6,10,16,16,22,22,33,33
57200276125,0,0,0,0,0,2,2,2,2,2
14049909700,4,4,4,4,16,16,16,16,16,16
55222624000,4,4,4,4,4,4,4,4,4,4
6602228124,5,5,5,5,5,5,5,7,7,7
55879352900,7,7,7,7,7,7,7,7,7,7
35175729000,0,0,5,5,5,5,5,5,5,5
7005223180,12,12,12,12,12,12,12,12,21,21
35753086800,3,3,3,3,3,3,3,10,10,10
56144992000,0,0,9,9,9,9,9,9,9,9
36869438500,0,0,8,8,8,8,8,8,8,8
36598977600,0,0,0,0,3,3,3,3,3,6
35096096600,0,0,0,12,12,12,12,12,12,12
36476668700,0,0,0,0,0,1,1,1,1,1
7501607913,4,7,7,7,7,7,8,8,8,8
36239346200,3,3,3,3,3,3,3,3,3,3
35847370300,4,7,11,17,17,17,17,17,17,17
6701792902,0,2,2,2,2,2,2,2,2,2
26421987200,5,5,7,7,7,7,7,7,7,7
36652865300,0,0,0,0,0,0,3,3,3,3
26635800000,26,26,26,26,26,26,26,26,26,26
34770363100,3,13,15,15,16,16,16,16,16,16
26429325600,2,2,2,2,2,2,2,6,6,6
21233343600,0,0,0,0,22,22,22,22,22,22
35105296500,0,0,0,0,0,0,0,0,0,9
35078236000,7,7,7,7,9,9,9,9,9,9
26321692300,0,0,0,0,0,0,0,0,0,3
36706890000,3,3,3,5,5,5,5,7,7,7
56089957700,0,0,0,0,2,2,2,2,2,2
28567754700,1,1,1,1,3,3,3,3,3,3
7203076527,0,0,0,0,0,0,0,26,26,26
23468770100,0,0,0,6,6,6,6,6,6,6
34869482700,0,0,0,0,0,0,0,2,7,7
57197942995,50,50,50,50,50,52,52,52,52,52
15924889800,72,72,72,72,72,72,72,72,72,72
35204207700,11,11,20,20,20,20,22,22,25,25
9532871700,0,0,0,0,0,0,4,4,4,4
35768456900,0,0,0,0,0,0,0,0,0,4
33867753300,0,16,16,16,16,16,16,16,16,16
35147909600,2,2,2,2,2,2,2,2,2,2
35955472900,0,0,0,0,3,3,3,3,3,3
26031736100,2,2,4,4,5,6,6,6,6,9
35314823600,0,0,0,0,0,0,0,72,72,158
56514957300,0,0,0,0,0,18,18,21,21,21
35327544600,0,0,15,15,15,15,15,15,15,15
30467462000,0,0,0,0,0,0,0,0,10,10
35087983500,1,2,11,13,14,23,24,24,24,26
24171848700,0,0,3,3,3,3,3,3,3,3
57207607528,10,10,10,10,10,15,15,25,25,30
24478602800,0,3,3,4,15,23,34,36,36,37
55392353500,0,0,11,11,11,11,11,11,11,11
25959021500,3,4,4,4,4,4,4,4,4,4
9240940300,6,7,7,7,10,10,10,10,10,10
7003434202,1,2,2,2,2,2,2,2,2,2
6701357968,11,11,11,11,11,11,11,11,11,11
7801360013,35,35,35,35,35,35,35,35,35,35
35772433700,0,3,3,3,3,3,3,3,3,3
14031778500,0,0,12,12,12,12,12,12,12,12
26040513700,3,3,3,3,3,3,3,3,3,3
26649628800,0,1,6,6,6,6,6,6,6,6
35191080800,6,8,14,14,17,17,17,17,17,17
22933858700,0,0,0,0,0,0,0,0,3,3
26535402400,3,3,3,3,3,3,3,3,3,3
26433036200,0,6,6,6,6,6,6,6,6,6
35369023300,6,6,6,6,6,6,6,6,11,17
7102063738,0,22,22,22,22,22,22,22,22,22
7202583261,0,14,14,19,19,22,22,22,26,26
26967572700,2,4,4,4,4,4,4,4,4,4
51864916300,0,0,0,6,6,6,6,6,6,6
25824864000,3,5,6,6,6,6,6,6,6,6
36662488200,2,4,7,7,7,7,7,7,7,7
25928863500,0,0,5,5,5,5,5,5,5,5
26422937800,0,0,0,0,0,13,13,13,13,13
56259531400,0,0,0,0,0,0,0,50,50,50
26534030100,6,6,7,7,7,7,7,7,7,7
35270434600,0,0,0,13,13,13,13,13,13,13
8938022600,0,14,14,14,14,14,14,14,14,14
56212279700,12,12,12,12,12,12,12,12,12,12
36133427400,1,1,1,1,1,1,1,1,1,1
55888650100,0,0,0,0,0,0,0,3,6,8
57202611852,3,3,5,5,5,5,7,7,7,7
7003956690,0,0,0,0,4,4,4,4,4,4
24587562500,3,3,3,3,9,11,18,20,21,22
55911806900,0,0,0,15,15,15,15,15,21,21
35241698000,0,0,0,0,0,0,0,18,18,18
56247780400,3,3,3,3,3,3,3,3,3,3
7005151549,23,23,23,23,23,72,72,97,97,97
14422385100,4,4,4,4,11,11,11,11,11,11
35218233300,4,8,8,18,18,18,18,18,18,18
15758862200,0,14,14,14,14,14,14,14,14,14
7103304847,0,0,0,0,28,28,28,28,28,28
55601684600,0,0,0,4,6,9,9,9,9,9
7201816666,3,3,4,4,4,4,4,4,4,4
24475187800,2,3,3,3,3,3,3,3,3,3
26428472800,4,4,4,14,17,20,20,33,37,38
25925368500,8,8,11,11,20,20,20,20,20,20
8571916600,0,3,3,3,3,3,3,3,3,3
17435892500,0,0,1,1,1,1,1,1,1,1
35109433600,0,0,0,0,0,0,0,0,4,4
9435534700,0,0,0,0,16,16,16,16,16,16
35292218800,1,4,4,6,6,6,6,6,6,6
8622658800,2,6,11,11,11,11,11,11,11,11
26424648000,0,0,0,0,7,7,7,7,7,7
26538220400,1,1,1,1,1,1,1,1,1,1
35788635000,6,6,6,6,6,6,6,6,6,6
33367924200,2,5,5,5,5,5,5,10,10,10
36161510900,3,4,4,4,4,4,4,4,4,4
36906735100,2,3,3,5,5,6,10,10,10,10
55360417300,2,2,2,2,2,2,2,2,2,2
35113054600,3,10,12,12,12,14,14,14,14,14
56728112100,0,5,5,23,23,23,23,23,36,36
24833564800,6,6,6,6,6,6,6,6,6,6
7201891158,3,3,3,4,4,4,4,4,4,4
12752094100,2,2,2,2,2,2,2,2,2,2
9841291500,0,4,4,4,4,4,7,8,8,11
36645872600,0,0,0,0,0,0,0,0,0,5
26424843800,5,5,6,6,7,7,7,7,7,7
57206545989,5,5,5,5,5,5,5,5,5,5
35203861700,2,2,2,2,2,2,2,2,2,2
35302811300,2,2,7,9,15,15,15,15,15,16
26423736000,0,0,2,2,2,2,2,2,2,2
56219445300,0,0,0,0,11,11,11,11,11,11
22954539400,4,4,5,7,7,10,10,10,10,10
36052478900,0,4,4,4,7,11,11,11,11,11
36110130900,3,3,3,5,5,5,5,5,5,5
25936885200,0,0,0,0,4,4,4,4,4,4
55551292000,0,0,0,5,5,5,5,5,5,5
28367794800,2,2,2,2,2,2,2,2,2,2
6506893342,5,6,12,12,12,12,12,12,12,12
6506607050,2,7,27,36,49,64,73,75,82,92
55053585100,0,0,0,2,2,2,2,2,2,2
15724546500,5,19,21,21,21,21,29,29,29,29
57207531235,0,0,0,0,0,5,5,5,5,5
6602369915,1,1,1,1,1,1,4,4,5,5
26967774400,3,3,4,4,4,4,5,6,6,6
44861760500,0,0,0,1,1,1,1,1,1,1
56500820000,4,4,4,4,4,4,4,4,4,4
26647565000,0,0,0,0,0,0,0,0,0,6
35409174700,9,9,9,10,10,10,10,10,10,10
56086352300,2,2,2,4,13,13,13,13,13,13
6701334730,54,54,54,54,54,54,54,54,54,54
47961867800,5,5,5,5,5,5,5,5,5,5
35183888500,3,3,3,3,3,3,3,3,3,3
25926844400,4,4,4,4,4,4,4,4,4,4
35572473000,0,0,0,5,5,5,5,5,5,5
36009932100,0,0,0,0,0,0,0,0,12,12
36054241700,0,0,0,0,0,0,7,7,7,7
25321144500,23,23,23,23,23,57,57,67,67,67
57197561039,30,30,30,30,30,30,30,30,30,30
6504249248,7,7,7,7,7,7,7,7,7,7
35092391600,2,3,5,8,8,12,16,19,22,22
7006596437,0,0,0,6,6,7,7,7,7,7
36888902800,4,4,4,4,10,12,12,12,16,16
57197649314,0,0,0,3,3,3,3,3,3,3
57207509082,2,2,2,2,2,4,4,9,9,9
57193911094,3,11,13,13,13,13,13,13,13,13
56604288400,3,3,3,3,3,3,3,3,3,3
35584786200,0,0,0,2,2,2,2,2,2,2
56716612700,3,3,3,3,3,3,3,3,3,3
23489999800,2,3,3,3,8,11,11,17,17,18
35243418500,24,30,37,37,37,40,42,46,46,46
35774365600,0,0,4,10,20,20,20,20,20,20
12775624800,2,2,2,10,11,11,12,14,14,18
20433556100,2,2,2,2,9,18,18,18,18,24
55667756000,2,2,5,6,6,9,9,9,9,9
26321487500,0,0,5,5,8,8,14,14,14,14
6701746861,3,3,3,3,3,3,3,3,3,3
11939835700,0,0,0,0,0,0,0,4,4,4
7402681364,0,0,7,7,7,7,7,7,7,7
23493928200,3,3,3,3,3,3,3,3,3,3
35067984800,0,0,0,0,0,0,0,17,17,17
34772048000,0,0,0,0,0,0,0,0,0,4
8719314400,15,32,32,32,32,32,32,32,32,32
