Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
5287,57198696154,6,6,6,6,6,6,6,2012
5330,55262544600,7,7,7,7,7,7,7,2012
5336,7005949115,16,29,29,29,29,29,29,2012
5382,56021775200,4,4,8,8,8,8,8,2012
5396,55925542100,1,1,1,1,1,1,1,2012
5436,57201782743,1,1,2,2,2,2,2,2012
5446,54999364100,10,10,10,10,10,10,10,2012
5526,7202820454,6,6,6,6,6,6,6,2012
5531,35811580800,1,1,1,1,1,1,2,2012
5535,55524043000,5,5,5,5,5,5,5,2012
5537,7201391894,5,5,5,5,5,5,5,2012
5551,24729414600,6,6,6,6,12,15,15,2012
5555,35725875000,15,31,31,31,31,31,31,2012
5589,30867575800,2,2,2,2,2,2,2,2012
5602,55602095300,2,7,7,7,7,7,7,2012
5605,6603795697,4,6,6,6,6,6,6,2012
5614,55364391100,4,4,4,4,4,4,4,2012
5626,35300543200,6,6,6,6,6,6,6,2012
5635,6604064698,8,12,12,12,12,12,12,2012
5660,36619521200,53,53,53,53,53,53,53,2012
5669,7801571016,2,13,13,13,13,13,16,2012
5672,36551445700,2,2,2,2,2,7,9,2012
5690,6701413184,5,5,5,9,9,14,14,2012
5707,55433961500,9,9,9,9,9,9,9,2012
5723,6602378446,1,1,1,1,1,2,2,2012
5731,35247753000,4,4,4,4,4,4,4,2012
5740,55355531600,11,11,11,11,11,11,11,2012
5741,55440242200,3,3,5,9,9,9,9,2012
5778,7403279765,22,22,22,22,22,22,22,2012
5825,55445674300,4,4,4,4,4,4,4,2012
5861,56304288800,36,36,36,36,36,36,36,2012
5870,6602300871,58,58,103,103,166,166,238,2012
5885,6504363083,6,6,6,6,6,6,6,2012
5886,6602838706,7,7,11,11,11,11,11,2012
5888,6603709176,3,3,3,3,3,3,3,2012
5897,55497275500,2,2,2,4,4,4,4,2012
5904,55806337900,4,4,4,4,4,4,4,2012
5921,55515773900,2,2,2,2,2,2,2,2012
5930,35207638200,4,4,4,4,4,4,4,2012
5938,22934728500,10,10,10,10,10,10,10,2012
5941,6603793044,1,1,1,1,1,1,1,2012
5949,55560405400,25,25,25,25,25,25,25,2012
5955,36998492600,3,6,6,18,18,18,18,2012
5969,8414751400,5,5,5,6,14,15,22,2012
6008,57201564811,7,7,7,7,7,7,7,2012
6016,36663269300,4,4,4,4,4,4,4,2012
6018,55431018300,5,5,5,5,5,5,5,2012
6024,7004198347,3,3,3,3,3,3,3,2012
6036,55605801200,4,4,4,4,6,6,6,2012
6098,36482400900,2,2,2,6,6,6,9,2012
6104,55768035200,2,2,2,3,3,3,3,2012
6133,55941718600,2,2,5,5,5,5,5,2012
6188,16029861700,11,11,11,11,11,11,11,2012
6197,55336239800,2,2,2,2,2,2,2,2012
6226,55351421700,5,5,5,11,11,14,17,2012
6234,57196405693,8,8,8,8,8,8,8,2012
6279,24336291700,15,15,15,15,15,15,15,2012
6303,55542124900,56,56,60,60,60,60,103,2012
6311,6701850138,44,44,44,44,44,44,44,2012
6312,55305520100,2,2,2,2,6,6,6,2012
6319,6602103688,3,5,5,6,6,6,9,2012
6342,57192154241,2,3,11,13,13,19,22,2012
6346,50460949700,4,4,4,4,4,4,9,2012
6371,55445725000,2,2,2,2,2,2,2,2012
6375,55262962000,4,9,11,11,11,11,11,2012
6402,55010658800,10,10,10,10,10,10,10,2012
6404,55633475000,6,6,6,6,9,9,9,2012
6406,36483679200,52,52,100,100,100,100,100,2012
6526,56530437900,2,2,2,4,4,4,4,2012
6538,16039181800,2,15,18,18,18,18,19,2012
6548,36935807700,1,1,12,13,13,13,13,2012
6569,7403908166,1,1,1,1,1,1,1,2012
6587,6701633126,9,9,9,9,9,9,9,2012
6598,55009931200,4,4,4,5,8,8,8,2012
6602,55906095600,5,5,5,5,5,5,5,2012
6616,55094649000,2,2,2,2,2,2,2,2012
6652,6506017367,4,8,8,8,8,8,8,2012
6675,55922725500,14,14,19,19,22,22,22,2012
6678,55365178000,8,8,8,8,8,8,12,2012
6686,25723429200,2,2,2,2,2,2,2,2012
6728,8984461100,3,5,9,9,9,9,17,2012
6742,55366402700,3,3,3,3,3,3,3,2012
6746,55958501600,2,2,2,2,2,2,2,2012
6777,6701811322,3,3,5,5,5,5,5,2012
6790,35146405200,2,2,2,2,2,2,2,2012
6810,56039313200,4,4,4,4,4,4,4,2012
6818,55429088000,3,3,3,3,3,3,3,2012
6823,55210323400,3,3,3,3,3,3,3,2012
6830,35609513100,4,5,5,5,5,5,5,2012
6842,22836597000,3,3,3,3,11,18,18,2012
6883,6603859280,3,3,3,3,3,3,3,2012
6891,55502487500,2,2,2,2,2,2,2,2012
6942,6603040418,19,19,19,19,19,19,19,2012
6952,54790627700,17,17,17,17,17,17,17,2012
6957,55061084700,3,3,3,4,4,5,16,2012
6958,36343322800,2,2,2,2,2,2,2,2012
6987,6508323679,5,5,5,5,5,5,5,2012
6990,55546184300,3,3,3,3,6,6,6,2012
7019,7004594498,6,6,6,6,6,10,12,2012
7025,37010360200,3,3,3,3,3,3,3,2012
7050,55799857000,1,1,1,1,1,1,1,2012
7061,49663040100,4,4,4,4,4,4,4,2012
7099,57202798617,15,15,15,15,15,15,19,2012
7109,7003395010,62,70,82,82,88,88,88,2012
7112,36025598100,62,70,70,151,151,151,151,2012
7114,23012458800,31,31,31,31,31,53,53,2012
7118,55184994800,4,4,4,4,4,4,4,2012
7125,7202565490,15,28,28,28,28,37,37,2012
7132,6504496310,4,4,4,4,4,4,4,2012
7174,55541455300,34,34,34,34,34,34,34,2012
7208,55664415200,8,8,8,8,8,8,8,2012
7209,36460585800,3,3,3,3,3,3,3,2012
7210,57204486760,4,4,4,4,4,4,4,2012
7217,55613455900,2,2,2,2,2,2,2,2012
7218,55767381400,46,46,46,46,46,46,46,2012
7231,7006114072,8,8,8,8,8,8,8,2012
7234,36700301200,1,1,1,1,1,1,1,2012
7248,57202623992,4,4,4,4,4,4,4,2012
7255,55257116400,2,2,2,2,2,2,2,2012
7300,6507524448,12,12,12,12,12,12,12,2012
7303,7004522318,23,23,23,23,23,23,23,2012
7312,55362598400,2,2,2,2,2,2,2,2012
7326,55576016700,5,5,5,5,5,5,5,2012
7344,21733247100,3,3,3,3,3,3,3,2012
7354,35076968200,4,4,4,4,4,4,4,2012
7383,55549626100,13,13,17,19,19,24,24,2012
7444,55361130600,1,1,1,1,1,1,1,2012
7449,55220759500,3,3,3,3,3,3,3,2012
7474,7004113296,85,85,85,85,105,105,105,2012
7479,8916354600,9,9,9,9,9,9,9,2012
7499,7004385524,2,5,5,5,9,9,9,2012
7510,35325791600,7,7,7,7,7,7,7,2012
7524,36502622800,16,16,16,16,16,16,16,2012
7530,57193964697,3,4,4,4,4,4,4,2012
7574,40462926300,3,8,8,9,9,9,9,2012
7576,36707509300,1,1,1,1,1,1,1,2012
7593,55550904800,6,6,6,6,6,6,6,2012
7598,57200801971,8,8,8,8,8,8,8,2012
7606,55317520400,2,3,3,3,6,7,11,2012
7610,55565983600,3,4,4,5,5,5,5,2012
7611,6602890768,57,57,57,57,83,83,83,2012
7624,6603004307,3,3,3,3,3,3,3,2012
7625,55225775200,3,3,3,3,3,3,3,2012
7632,55320224000,1,1,3,3,3,3,3,2012
7676,23011366900,31,31,31,31,31,31,31,2012
7702,16174147100,2,2,2,2,2,2,2,2012
7723,55360265100,3,3,3,3,3,3,3,2012
7757,23984426200,2,2,2,2,2,2,2,2012
7760,55538928100,4,4,5,5,5,5,5,2012
7768,16192861100,2,2,2,2,2,2,2,2012
7786,16635449000,12,12,32,32,42,42,79,2012
7806,7006973162,3,3,6,9,9,10,10,2012
7852,36241603900,3,3,3,3,3,3,3,2012
7859,6603793994,3,3,3,3,3,3,3,2012
7868,7102741063,39,39,39,39,39,39,39,2012
7895,35769026000,3,4,4,5,5,12,16,2012
7946,24802508800,3,3,6,6,6,6,6,2012
7987,6506838376,24,27,27,27,27,40,40,2012
7996,55126815700,1,1,1,1,1,1,1,2012
8002,7005609991,4,4,4,4,4,4,4,2012
8022,21742903100,9,9,9,9,9,9,9,2012
8025,7004642488,15,15,15,15,15,15,15,2012
8029,55915908500,2,2,2,2,2,2,2,2012
8051,55211344500,3,7,8,8,8,8,8,2012
8080,24722412000,3,3,3,3,3,3,3,2012
8083,55697903000,3,5,6,7,7,7,7,2012
8085,57204504561,4,4,4,4,4,4,4,2012
8119,55662368200,4,4,4,4,4,4,4,2012
8135,24528361100,7,7,9,9,9,9,9,2012
8141,55370968200,1,10,12,14,14,17,17,2012
8144,35723249900,6,6,6,6,6,6,6,2012
8145,15926502700,2,2,2,2,2,2,2,2012
8148,25641454800,2,2,2,2,2,2,2,2012
8170,55667718200,3,3,3,3,3,3,3,2012
8222,57199911243,2,4,4,4,4,4,4,2012
8228,56103853700,3,3,3,3,3,3,3,2012
8231,55164915300,51,51,51,51,51,51,51,2012
8232,6507077037,23,23,23,23,23,36,36,2012
8317,55344792200,3,3,3,3,3,3,3,2012
8321,55323115900,3,3,3,3,4,4,4,2012
8329,6603017664,11,11,27,27,27,27,28,2012
8353,24725470100,4,4,4,4,4,4,4,2012
8355,22935877100,53,53,53,53,53,53,53,2012
8395,6603888092,6,6,6,6,6,6,6,2012
8445,57199765893,3,3,3,3,3,3,3,2012
8470,55316929500,2,2,2,2,2,2,2,2012
8480,7003483737,4,4,4,4,4,4,4,2012
8489,7403252543,2,7,7,8,8,8,8,2012
8510,6508002328,1,1,1,1,1,1,1,2012
8527,6701495329,5,5,5,5,5,5,5,2012
8529,7003698583,4,4,4,4,4,4,4,2012
8556,42862281800,4,9,9,22,24,25,25,2012
8573,57201285798,3,3,3,3,3,3,3,2012
8590,12752759400,4,4,4,4,4,4,4,2012
8603,53867137900,4,5,5,5,5,5,5,2012
8621,6701867252,2,2,2,2,2,2,2,2012
8634,6602396515,87,87,111,111,111,111,111,2012
8643,54383588400,2,2,2,2,2,2,2,2012
8648,57204256510,3,3,3,3,3,3,3,2012
8658,55613351800,3,3,3,5,5,5,5,2012
8701,35426777000,5,8,8,8,8,10,10,2012
8702,41661333600,9,9,9,9,9,9,9,2012
8703,6603876531,13,31,31,31,31,31,31,2012
8724,35931990200,4,4,4,4,4,4,4,2012
8748,55453864300,3,7,7,7,7,7,7,2012
8765,25823157400,85,85,109,109,109,109,117,2012
