Unnamed: 0,ID,2017,2018,start_year
5704,57205198563,23,23,2017
5709,57195720795,4,4,2017
5717,6701576158,5,5,2017
5721,57194693067,3,3,2017
5729,57195495656,2,2,2017
5731,57192067083,4,4,2017
5735,57201295469,6,6,2017
5741,57199502206,4,4,2017
5749,57205010352,16,16,2017
5772,57191914289,3,6,2017
5775,57194632744,4,5,2017
5804,8942524900,61,61,2017
5806,57196466005,30,30,2017
5818,14829112600,10,10,2017
5824,57194454746,4,8,2017
5826,14043195600,7,7,2017
5829,57195517926,3,4,2017
5859,57191995186,1,1,2017
5863,36894947000,3,3,2017
5907,15126811600,7,7,2017
5914,7007023897,20,20,2017
5919,56007816200,4,4,2017
5920,57194870290,4,4,2017
5930,55808072147,8,13,2017
5934,56234343100,29,29,2017
5953,7004123972,42,42,2017
5956,57195154441,9,9,2017
5987,56893862400,3,3,2017
6032,57190666700,3,3,2017
6045,57193730257,3,3,2017
6046,57197711257,1,4,2017
6091,57193214535,7,10,2017
6096,56308400900,2,2,2017
6112,36455727900,7,7,2017
6136,36901219800,3,3,2017
6171,6701758419,4,4,2017
6186,57200564659,3,3,2017
6203,57194460897,3,3,2017
6222,56346538100,4,4,2017
6223,55250988500,39,43,2017
6225,57194107636,3,3,2017
6234,56668563200,3,3,2017
6240,57200564535,5,5,2017
6264,24464372100,17,17,2017
6274,57190300119,7,7,2017
6284,57195576478,2,2,2017
6286,6603744560,3,3,2017
6288,56367915900,5,5,2017
6296,57194593929,3,3,2017
6329,7003755974,11,11,2017
6358,55793189029,9,9,2017
6371,57191521318,3,3,2017
6372,57201584706,3,3,2017
6387,57193617258,3,3,2017
6431,26632587000,10,10,2017
6441,57189685754,5,8,2017
6446,57189700492,10,10,2017
6448,35189530600,3,3,2017
6459,56114867600,9,9,2017
6475,57193687850,3,3,2017
6483,55883122400,1,1,2017
6486,57189906111,20,20,2017
6539,57188746854,3,3,2017
6565,57200590363,5,5,2017
6572,57192956197,4,4,2017
6581,13405973700,5,5,2017
6586,54384290000,9,14,2017
6589,7103410693,33,33,2017
6634,57193436134,4,4,2017
6641,57189892701,42,42,2017
6648,6602453987,33,33,2017
6662,57195066589,3,3,2017
6676,35345242100,10,10,2017
6684,56048357500,11,11,2017
6687,56970552900,7,7,2017
6694,11239051500,3,6,2017
6708,56764546300,4,4,2017
6717,57190064692,4,4,2017
6728,22136625400,29,29,2017
6742,57192230351,6,6,2017
6763,57193875110,11,11,2017
6782,57195071076,4,4,2017
6790,57198357135,1,1,2017
6805,57192380581,5,5,2017
6806,57191926534,4,4,2017
6852,7406242798,39,43,2017
6858,57191364291,4,4,2017
6861,56252302200,4,4,2017
6868,56786537900,2,2,2017
6883,57201275565,5,5,2017
6891,24340241400,22,22,2017
6931,8902317200,20,20,2017
6932,55757507300,12,12,2017
6935,56715339900,6,6,2017
6948,55831008300,4,4,2017
6966,56401206500,3,3,2017
7041,37034886400,5,5,2017
7049,35203599500,5,5,2017
7056,55873039500,6,6,2017
7064,16021933000,7,7,2017
7070,57193602262,1,1,2017
7075,57191283183,8,8,2017
7122,49663175800,2,2,2017
7135,57188864319,5,5,2017
7143,55455325800,39,39,2017
7151,35721565900,2,2,2017
7170,55885045200,3,3,2017
7171,57196237431,6,6,2017
7172,7403322066,4,4,2017
7175,7004535868,4,4,2017
7181,7004089349,4,4,2017
7190,57031784600,8,8,2017
7244,55193070000,12,12,2017
7248,57195222966,2,2,2017
7297,57195138318,4,10,2017
7300,57195423157,11,11,2017
7309,15727697600,10,11,2017
7318,57197787322,4,4,2017
7328,57188823040,6,8,2017
7346,15765286300,5,5,2017
7368,57195153877,6,6,2017
7394,7003746567,5,5,2017
7395,57189062326,1,2,2017
7404,57194155204,11,11,2017
7413,6508379959,4,4,2017
7417,6506027508,2,2,2017
7436,55944667800,33,33,2017
7441,57193744778,6,6,2017
7449,35733154400,10,10,2017
7468,16303249400,38,38,2017
7507,57191833283,3,3,2017
7511,57199211314,17,17,2017
7541,57191984674,5,5,2017
7554,43862114100,8,8,2017
7565,57191445466,3,3,2017
7568,57200276116,6,6,2017
7631,57192895030,33,33,2017
7684,15848964700,17,17,2017
7686,56538479400,19,19,2017
7695,57195962288,3,3,2017
7721,57204332216,3,3,2017
7722,18535498500,14,14,2017
7731,57196480819,3,3,2017
7739,6701561130,2,2,2017
7750,36187856500,4,7,2017
7754,44061135000,4,8,2017
7759,56597437000,2,2,2017
7776,6603870889,9,9,2017
7783,57195420312,4,4,2017
7793,57202669221,16,16,2017
7796,57195424857,6,6,2017
7800,57191959672,16,22,2017
7816,35419480500,53,53,2017
7832,23012413300,22,22,2017
7868,36550538200,4,4,2017
7878,57191498177,3,3,2017
7895,22135804300,8,8,2017
7904,55840701900,7,7,2017
7915,23392222300,6,6,2017
7944,57190171052,1,1,2017
7950,6506221360,5,5,2017
7964,55195883700,7,7,2017
7967,7004109759,5,5,2017
7971,57193425486,36,36,2017
7976,56165150100,4,4,2017
7997,9132768300,9,9,2017
8000,55513266300,4,4,2017
8017,55293706900,2,4,2017
8027,8864084100,4,4,2017
8031,10046231700,11,11,2017
8048,24825215200,5,5,2017
8060,35459537200,2,2,2017
8061,57198114530,11,11,2017
8063,57194165576,6,6,2017
8094,26025973600,11,11,2017
8112,36698159400,6,6,2017
8134,37121595700,2,8,2017
8135,57190967291,3,4,2017
8140,56313199000,11,11,2017
8154,37015450200,8,14,2017
8191,35199475700,8,8,2017
8213,57198498200,2,2,2017
8220,7101721271,6,6,2017
8228,57201582648,1,1,2017
8253,55836337200,4,4,2017
8269,6508350460,5,5,2017
8270,24598240100,16,16,2017
8319,57195395195,4,4,2017
8333,57193490273,4,4,2017
8335,57194871125,4,4,2017
8343,57203731450,5,5,2017
8345,57201112165,3,3,2017
8346,57193211976,2,2,2017
8362,6602169746,4,4,2017
8389,55399116000,2,2,2017
8400,56803758800,5,5,2017
8420,26429019900,5,5,2017
8424,6602182121,8,8,2017
8432,7006415377,1,1,2017
8468,57196005953,2,2,2017
8475,23994742900,6,6,2017
8492,56463757600,4,4,2017
8494,57200551222,4,4,2017
8526,57200181246,5,5,2017
8528,57194187649,4,4,2017
8529,57194503239,10,10,2017
8540,54782691700,3,3,2017
8564,57193629150,2,2,2017
8577,57195338663,4,7,2017
8581,56038177800,7,7,2017
8597,57200276789,2,2,2017
8605,57193170079,8,8,2017
8610,57195528338,8,8,2017
8629,57194440121,6,6,2017
8671,56013549400,2,4,2017
8682,55111507000,3,3,2017
8683,57191835168,1,1,2017
8684,6505876968,15,15,2017
8694,7005232048,3,3,2017
8701,24448424800,8,8,2017
8703,57197782174,17,17,2017
8711,14622258500,2,2,2017
8725,57194445456,4,4,2017
8732,9523235,14,14,2017
8746,56856681300,15,15,2017
8761,6506437521,29,29,2017
8779,24079827900,28,28,2017
8785,24463533200,5,5,2017
8819,14822032600,3,3,2017
8836,57126412300,2,2,2017
8862,12784638500,3,3,2017
8871,56883991800,6,6,2017
8872,57199211282,8,8,2017
8880,7103329271,10,10,2017
8881,7003747065,28,28,2017
8884,55802765000,4,4,2017
8896,26031133500,6,6,2017
8917,35557922900,4,4,2017
8930,8409839300,5,5,2017
8962,57192871319,4,6,2017
8977,6602830765,11,11,2017
8983,57193484476,4,5,2017
8992,7202675553,7,7,2017
9005,56779659000,3,3,2017
9013,57193690159,12,12,2017
9029,8419036300,5,6,2017
9066,57195318561,2,2,2017
9078,57197550466,17,17,2017
9084,56540618700,8,8,2017
9087,56097932900,3,3,2017
9109,57191956738,12,12,2017
9120,57194166499,5,5,2017
9126,57201662785,3,3,2017
9139,57196745725,18,18,2017
9152,57193602151,5,6,2017
9155,57193348412,2,2,2017
9168,6602310732,5,5,2017
9199,57195960663,2,2,2017
9208,7005942578,11,12,2017
9224,57196261804,2,2,2017
9232,57198490235,7,8,2017
9255,57195346679,2,5,2017
9259,57200497560,4,4,2017
9270,57193749463,6,6,2017
9271,57197731232,1,1,2017
9282,57193781053,11,11,2017
9284,55972082700,8,8,2017
9319,57196356735,1,1,2017
9354,56333533200,1,1,2017
9368,57191909802,2,2,2017
9410,57194875132,7,7,2017
9472,57200760488,3,3,2017
9478,6701587267,5,10,2017
9505,57198211662,10,10,2017
9507,6701793445,11,11,2017
9523,56405556500,5,6,2017
9554,36486362800,22,22,2017
9558,57189590425,8,8,2017
9575,57203057099,5,5,2017
9598,8544715900,3,3,2017
9602,25228157500,2,2,2017
9627,56503862800,5,5,2017
9633,57194493761,4,4,2017
9640,55250576100,5,5,2017
9648,7004155520,4,4,2017
9651,6603564109,2,2,2017
9652,7004851564,3,3,2017
9666,57194479122,20,20,2017
9671,56641331500,4,6,2017
9674,22233283200,5,5,2017
9678,55910785900,3,3,2017
9712,7404043105,10,22,2017
9723,55604662700,3,3,2017
9756,57203100457,7,7,2017
9757,55449556400,4,4,2017
9766,35721669300,4,4,2017
9777,57196277760,5,5,2017
9784,57195275645,4,4,2017
9793,56406047400,6,6,2017
9820,56340386800,17,17,2017
9836,57198347276,3,3,2017
9847,36715777100,4,4,2017
9856,6506151707,14,14,2017
9870,6507349310,5,5,2017
9874,57203710439,6,6,2017
9899,7003303475,11,11,2017
9929,35078502500,10,10,2017
9944,26642091900,17,17,2017
9986,57188764838,5,5,2017
10002,57193259133,2,2,2017
10010,10039272000,4,4,2017
10029,56005385500,5,5,2017
10035,56542761600,3,3,2017
10048,57190313783,7,7,2017
10052,55765793100,1,1,2017
10073,55603812800,4,4,2017
10077,57195071708,3,4,2017
10078,57200626371,6,6,2017
10079,55882212700,4,4,2017
10088,7202930876,8,8,2017
