Unnamed: 0,ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
4369,25121170700,7,7,7,7,7,7,7,7,7,7,7,2008
4385,55505019900,8,8,8,8,8,8,8,8,8,8,8,2008
4404,57204227045,2,2,2,2,2,2,2,2,2,2,2,2008
4424,57195529441,1,1,1,1,1,3,6,6,6,8,8,2008
4443,23466606800,3,4,4,4,4,4,4,4,4,4,4,2008
4447,26867873800,3,4,5,5,8,8,8,8,8,8,8,2008
4457,36171152900,1,1,1,1,1,1,1,1,1,1,1,2008
4465,24470629700,3,3,3,3,3,3,3,3,3,3,3,2008
4467,24825562800,12,12,12,12,12,12,12,12,12,12,12,2008
4512,55455807400,3,3,4,4,4,4,4,4,4,4,4,2008
4528,6603590918,15,15,15,15,15,15,15,15,15,15,15,2008
4542,6603880686,2,2,2,2,2,2,2,2,2,2,2,2008
4559,23005404700,11,16,16,16,16,16,16,16,16,16,16,2008
4561,24821056800,3,3,3,3,7,10,14,14,14,15,15,2008
4604,56636093600,20,20,20,20,20,20,20,20,20,20,20,2008
4631,26667323100,6,6,6,6,6,6,6,6,6,6,6,2008
4632,23491959900,3,4,5,6,9,10,10,10,10,12,12,2008
4633,26666742700,2,2,2,2,2,2,2,2,2,2,2,2008
4665,35090098700,2,3,6,6,8,10,11,11,15,15,22,2008
4671,56275180000,7,7,7,19,19,19,19,19,19,19,19,2008
4690,24067210300,2,2,2,2,2,2,2,2,2,2,2,2008
4709,7006674531,4,4,4,4,4,4,4,4,4,11,11,2008
4769,57183925300,5,5,5,5,5,5,5,5,6,6,6,2008
4777,56534160500,3,3,3,3,3,3,3,3,3,3,3,2008
4851,6603550130,3,4,4,4,10,10,10,10,10,15,15,2008
4864,23979609400,3,5,6,7,8,9,9,13,13,13,13,2008
4869,24279312400,2,2,2,2,2,2,2,2,2,2,2,2008
4928,24449521300,4,4,4,4,4,4,4,4,4,4,4,2008
4945,24463464200,4,10,10,10,10,10,10,15,29,29,29,2008
5002,35113568800,2,2,2,2,3,3,3,3,3,3,4,2008
5003,56336262500,6,6,8,10,10,10,10,10,10,10,10,2008
5007,36682423700,3,3,3,3,3,3,3,3,4,4,4,2008
5022,7006475047,6,6,6,6,6,6,6,12,12,12,12,2008
5031,12645288800,8,8,8,8,8,8,8,8,8,8,8,2008
5070,21233322500,6,6,6,6,6,6,6,6,11,11,11,2008
5086,7004064391,15,15,15,15,15,15,15,15,15,15,36,2008
5113,35617146900,1,1,1,1,1,1,1,1,1,1,1,2008
5126,7005108222,5,5,5,5,5,5,5,5,5,5,5,2008
5132,7003464235,6,6,6,6,6,6,6,6,6,6,6,2008
5149,7006483407,9,9,9,9,13,13,13,13,13,13,13,2008
5152,23006078500,4,4,4,4,4,6,6,6,6,6,6,2008
5188,7006569818,2,2,2,2,2,2,2,2,2,2,2,2008
5189,36482426200,14,14,14,14,14,14,14,14,14,14,14,2008
5198,55363110800,6,6,6,6,6,6,6,6,6,6,6,2008
5235,26433211700,2,2,2,2,10,10,10,10,10,10,10,2008
5248,34882465100,5,5,5,5,5,5,5,5,5,5,5,2008
5299,56702410800,5,5,5,5,5,5,5,5,5,5,5,2008
5315,7003959269,5,5,5,5,5,5,28,30,36,44,48,2008
5317,23007399700,6,6,27,27,27,27,27,27,27,27,27,2008
5328,24733718300,3,4,4,4,6,12,17,17,17,17,17,2008
5343,36824876600,8,8,8,15,15,15,15,15,15,15,15,2008
5352,23668313200,2,2,2,2,2,3,3,3,3,3,3,2008
5353,25721254000,3,3,3,3,3,3,3,3,3,3,3,2008
5357,15833848100,3,3,3,3,3,3,6,6,6,6,6,2008
5363,24337695700,2,2,2,2,2,2,2,2,2,2,2,2008
5375,26636721500,7,7,7,7,7,7,7,7,7,7,7,2008
5424,26423265300,6,6,6,6,6,6,6,6,6,6,6,2008
5434,57197040950,11,11,11,11,11,11,11,11,11,11,11,2008
5444,55574122824,6,6,6,6,6,6,6,6,6,6,6,2008
5447,56514867400,75,82,92,92,92,92,139,139,271,271,284,2008
5459,57205044038,2,2,2,2,2,2,2,2,2,2,2,2008
5493,24179132200,4,4,4,4,4,4,4,4,4,4,4,2008
5508,25655510500,4,4,4,4,4,4,4,4,4,4,4,2008
5533,35986546000,2,2,2,2,2,2,2,2,2,2,2,2008
5544,26321375200,3,3,3,3,3,3,3,3,3,3,3,2008
5557,6701626548,11,12,12,12,12,12,12,12,12,12,12,2008
5566,25926231200,3,3,3,3,3,3,3,3,3,3,3,2008
5628,6602725248,4,9,11,11,11,25,41,41,47,47,47,2008
5652,56265365000,12,12,12,12,12,12,12,15,20,20,20,2008
5662,8956357900,3,3,3,3,3,3,3,3,3,3,3,2008
5667,26427753800,2,2,5,6,15,16,16,16,16,16,16,2008
5686,24482394800,4,4,4,5,6,6,6,6,6,6,6,2008
5703,24780020100,6,12,12,13,13,13,13,13,13,13,13,2008
5719,7403712670,2,2,2,2,2,2,2,2,2,2,2,2008
5732,6505859732,3,3,6,7,9,19,19,20,20,20,20,2008
5776,15770310400,19,19,19,19,19,19,19,19,19,19,19,2008
5803,57196288460,4,4,4,4,4,4,4,4,4,4,4,2008
5808,23061549000,3,3,3,3,3,3,3,3,7,7,7,2008
5841,6603157921,3,5,5,5,5,5,5,5,5,5,5,2008
5845,57198024499,6,7,9,15,15,15,15,15,15,17,17,2008
5850,10243524500,7,7,7,16,16,16,16,16,16,16,16,2008
5870,57197537381,4,4,4,4,4,4,4,4,4,4,4,2008
5904,7004689752,6,6,6,6,6,6,6,6,6,6,6,2008
5935,55943063100,7,7,7,7,7,7,19,19,19,19,19,2008
5952,26024003300,2,2,2,2,2,2,2,2,2,2,2,2008
5955,56538649200,4,4,4,4,4,4,4,4,4,4,4,2008
5976,6505985816,3,3,3,3,3,3,11,11,12,12,12,2008
5980,56205294200,7,7,7,7,7,7,7,7,7,7,7,2008
6019,22035373900,4,4,5,5,5,5,5,5,5,5,5,2008
6022,57198416995,3,3,3,3,3,3,3,3,3,3,3,2008
6031,25925157400,2,2,2,2,2,2,2,2,2,2,2,2008
6050,24281200800,5,5,5,10,10,10,10,10,10,10,10,2008
6052,7003341226,4,4,4,4,4,4,4,4,4,21,21,2008
6077,6508060200,15,15,15,15,15,15,15,15,15,15,15,2008
6087,25633496600,5,5,5,5,5,5,10,10,10,10,10,2008
6105,26531384800,2,5,5,6,8,8,8,8,8,8,8,2008
6161,24528163800,1,1,1,1,1,1,1,1,1,1,1,2008
6196,26644664400,48,48,48,48,48,48,48,48,48,48,48,2008
6216,34882009400,5,5,5,5,5,5,5,5,5,5,5,2008
6249,14049527800,3,3,3,3,3,3,3,3,3,3,3,2008
6259,25122107000,5,5,5,5,5,5,5,5,5,5,5,2008
6263,9736611200,4,4,4,4,4,4,4,4,4,4,4,2008
6266,35484544300,5,9,9,9,9,9,9,9,9,9,9,2008
6272,26321806400,4,4,4,4,4,4,4,4,4,4,4,2008
6323,25929649200,5,5,5,5,5,5,5,5,5,5,5,2008
6330,6603754297,2,2,2,2,2,2,2,8,8,8,8,2008
6340,25928550600,2,2,2,2,2,2,2,2,2,2,2,2008
6424,25522407700,6,6,6,7,7,7,7,7,7,7,7,2008
6427,24385801600,16,21,21,21,21,21,21,21,21,21,21,2008
6447,23985236900,7,7,7,7,7,7,7,7,7,7,7,2008
6480,7102107938,2,2,2,2,2,2,2,2,2,2,2,2008
6516,57191914050,6,6,6,6,6,6,6,6,6,6,6,2008
6532,6603772595,2,2,2,2,2,2,2,2,2,2,2,2008
6535,24401274900,2,2,2,2,2,2,2,2,2,2,2,2008
6544,35194718000,3,6,7,11,11,11,11,11,11,11,11,2008
6557,25722947800,3,3,3,6,6,6,6,6,6,6,6,2008
6602,7003704509,5,5,7,7,7,7,7,13,13,13,13,2008
6628,24337407200,1,2,8,8,16,18,24,26,26,27,34,2008
6654,55873244300,11,11,11,11,11,11,11,11,11,11,11,2008
6674,7101875757,4,6,6,6,6,6,6,6,6,6,6,2008
6700,6602922462,3,7,12,16,18,20,24,28,32,37,63,2008
6725,25723725400,4,4,4,4,4,4,4,4,4,4,4,2008
6764,56264174000,1,1,2,5,5,5,6,6,6,6,9,2008
6765,57202810128,3,3,3,3,3,3,3,3,3,3,3,2008
6803,25652014100,3,3,3,3,3,3,3,3,3,3,3,2008
6834,7101702561,2,2,2,2,2,2,2,2,2,2,2,2008
6893,26666782700,3,3,3,3,3,3,3,3,3,3,3,2008
6915,26967678700,4,4,4,4,4,4,4,4,4,4,4,2008
6943,15729040100,8,8,8,8,8,8,8,8,8,8,8,2008
6944,57201110054,5,5,5,5,5,5,5,5,5,5,5,2008
6997,23477048400,17,17,17,17,17,17,17,17,17,17,17,2008
7000,15838441000,8,8,8,8,8,8,8,8,8,8,8,2008
7022,24833886600,23,23,23,23,23,23,23,23,23,23,23,2008
7043,6603771117,2,13,13,13,13,16,16,20,20,20,20,2008
7069,25654431500,12,15,23,25,25,25,25,25,25,26,26,2008
7107,16031388600,6,6,6,6,6,6,6,6,6,6,6,2008
7128,15765386700,26,26,26,26,26,26,26,26,26,26,26,2008
7134,7103246106,6,6,6,6,6,6,6,6,6,6,6,2008
7183,6602143999,13,13,13,13,13,13,13,13,13,13,13,2008
7213,24529065400,2,2,2,4,4,4,4,8,11,11,11,2008
7236,6507779154,2,2,2,4,8,11,11,11,12,12,12,2008
7253,6701410579,64,74,77,77,81,81,81,81,81,81,87,2008
7290,6603483249,3,3,3,3,3,3,3,3,3,3,3,2008
7291,24802406100,2,2,2,2,2,2,2,2,2,2,2,2008
7358,8218376800,4,4,4,9,9,9,9,9,9,9,9,2008
7366,14630258300,5,5,5,5,5,5,5,5,5,5,5,2008
7367,14628714600,8,8,11,11,11,11,13,20,20,20,23,2008
7420,6603031468,3,3,3,3,3,3,4,4,4,4,4,2008
7433,6602138719,4,21,21,21,21,21,21,21,21,21,21,2008
7453,57197943870,4,4,4,4,4,4,4,4,4,4,4,2008
7508,24833309000,15,15,15,15,15,15,15,15,15,15,15,2008
7518,56110303700,3,3,3,8,8,8,11,11,15,17,17,2008
7536,6602450984,14,14,20,20,20,20,27,27,27,27,27,2008
7539,12804718600,5,5,5,5,5,5,5,5,5,5,5,2008
7543,6701615576,5,5,5,5,5,5,5,5,5,5,5,2008
7550,26540881500,5,5,5,5,5,5,5,5,5,5,5,2008
7551,55945030200,68,69,69,72,75,76,76,76,76,80,80,2008
7553,55888212000,3,3,7,15,16,17,17,20,23,23,23,2008
7567,56027434700,1,5,7,8,13,13,13,13,13,13,13,2008
7593,24529080200,1,1,1,1,1,1,1,1,1,1,1,2008
7607,57203230809,20,20,20,20,20,20,20,20,20,20,20,2008
7618,26644040800,5,5,5,5,5,5,5,5,5,5,5,2008
7633,7003609106,25,25,25,25,25,25,25,25,25,25,25,2008
7665,36551277300,9,9,15,15,15,15,15,15,15,15,15,2008
7702,22981058800,3,3,3,3,3,3,3,3,3,3,3,2008
7705,7007117317,3,3,3,3,3,3,3,3,3,3,3,2008
7713,51261588200,7,7,7,7,7,7,7,7,7,7,7,2008
7732,15830969500,1,1,1,1,1,1,1,1,1,1,1,2008
7758,24400835000,1,1,1,1,1,1,1,1,1,1,1,2008
7767,7401663431,13,13,15,25,26,26,26,26,26,26,26,2008
7784,6602807341,19,19,21,24,55,55,58,58,58,58,68,2008
7809,22433533300,15,20,20,20,20,20,20,20,20,20,20,2008
7811,12445805700,10,10,10,10,10,10,10,10,10,10,10,2008
7847,6504631667,8,8,10,10,10,10,16,16,19,19,19,2008
7859,57204033781,5,5,5,5,5,5,5,5,5,5,5,2008
7876,23396784900,7,11,16,67,67,67,67,128,133,133,133,2008
7906,25640746200,3,3,3,3,3,3,3,3,3,3,3,2008
7911,7407118869,6,6,6,6,6,6,6,6,6,6,6,2008
7919,35605880600,4,4,4,4,4,4,4,4,4,4,4,2008
7955,24338053500,3,3,3,3,3,3,3,3,3,3,3,2008
7973,11939670900,5,5,5,5,5,26,26,26,26,26,26,2008
7978,6603279141,5,5,5,5,5,5,5,24,24,28,28,2008
8011,7003463520,4,6,6,6,6,6,6,6,6,6,6,2008
8045,23973086600,3,5,5,5,5,5,5,5,5,5,5,2008
8047,7005127015,7,7,7,7,14,14,14,14,14,14,14,2008
8054,24332257800,4,4,4,4,4,4,4,4,4,4,4,2008
8059,8377509000,4,4,4,4,4,7,7,7,10,11,11,2008
