ID,2013,2014,2015,2016,2017,2018
15123403200,8,10,11,11,11,12
7005501682,2,2,2,2,2,2
41261136100,6,6,6,6,6,6
6701721647,4,4,4,4,4,4
56038458000,5,5,6,7,9,9
22935148900,11,11,11,15,16,16
55817375200,8,8,8,16,18,24
35493090400,4,4,4,4,4,7
7003577773,5,5,5,5,5,5
55179751800,5,5,7,7,7,7
55803773700,26,26,28,28,28,28
24767671100,4,4,5,11,11,11
56942496900,4,4,6,6,8,11
55928570200,12,12,12,12,12,12
21934055200,10,10,17,17,17,17
8521745800,4,4,4,4,6,6
8719389100,9,28,34,34,60,60
22958981500,8,9,10,10,12,27
17433838800,2,2,2,2,2,2
55095509700,51,79,87,87,94,94
35795695900,6,6,6,6,6,6
54403434900,2,2,2,2,4,7
55748332900,2,2,2,2,2,2
55413279100,5,6,6,9,9,9
55930621000,3,3,3,4,4,4
26644463900,5,5,7,7,8,9
25927356300,17,17,17,17,17,21
56026306200,11,12,19,20,29,29
55329958700,3,5,5,7,10,11
36859968200,6,6,10,12,12,12
56023159300,2,2,2,6,8,11
57090347500,3,3,4,4,7,10
24831334500,4,4,4,4,13,15
56110290900,30,35,35,35,35,35
6508316368,8,8,8,8,8,8
36188722700,4,4,7,7,7,7
56013715600,3,6,6,6,6,6
33267990700,3,4,8,9,9,9
55939256800,7,7,7,7,7,9
7005844771,8,8,8,8,8,8
55811464900,13,13,13,23,52,62
56279123400,5,16,23,59,72,83
13806544800,2,2,2,2,5,5
35146305500,2,2,2,12,14,17
56104241500,5,10,10,10,10,10
55948446800,4,12,19,23,23,23
7003648636,4,4,4,4,4,4
55808005100,16,16,16,16,16,16
55646340800,2,2,2,2,2,5
8930372000,36,36,36,36,36,36
57193065781,9,9,9,9,9,9
27267889500,10,10,10,10,10,10
57191826278,6,6,6,6,6,6
55366536200,3,4,8,15,20,21
56208068200,7,9,9,9,9,11
56355022900,11,11,11,11,11,11
34870892800,5,7,21,28,34,45
55990834700,6,6,6,6,6,8
55775079100,5,8,10,11,11,11
49661502600,2,2,2,4,8,8
23977709100,5,5,6,6,6,6
55820506300,3,5,8,8,8,21
16426088700,3,3,3,3,3,3
16644973700,3,3,3,3,3,3
55826010400,2,2,2,2,2,2
36697915300,8,8,8,8,8,8
24559575700,9,9,9,9,9,9
55321369900,3,3,3,3,6,6
6602295400,5,5,5,5,5,5
55925402900,9,9,9,9,9,9
25225660300,1,1,1,1,1,1
6603817826,16,16,16,16,16,16
55969830600,2,2,2,4,4,4
57195962527,2,2,5,8,8,9
36662229200,11,11,18,20,24,24
55322491600,2,2,2,2,2,2
12800606800,9,9,41,41,41,41
56016717900,3,3,3,3,5,5
7409430101,17,17,17,17,17,17
6701525920,7,7,7,7,7,7
26633805600,4,4,4,4,4,4
7005033881,3,3,3,3,3,3
14019048000,2,15,17,17,25,25
35399985100,3,3,11,13,13,19
16318826000,6,8,11,11,11,11
56097724200,9,9,11,11,13,13
6504395706,2,2,8,11,11,13
44461981700,2,3,4,4,4,4
55634204800,5,5,5,7,7,7
55975887200,2,2,2,2,2,2
7203079647,34,34,34,34,34,34
7005811480,3,4,4,8,8,8
24512271900,2,4,5,6,8,10
6701355568,5,5,5,5,5,5
6602376029,3,3,17,24,24,24
57196395997,10,10,10,10,10,10
55453833900,4,5,5,8,13,13
55604616500,7,7,7,7,7,7
55816972200,4,4,4,4,4,4
55817383200,4,6,8,8,8,8
55760543600,4,4,5,6,6,6
57203177606,6,6,6,12,12,12
56045985800,2,2,2,2,2,2
55982116700,2,2,2,6,6,6
57197734220,3,3,5,5,7,7
56176829600,2,9,9,9,9,9
8161240100,7,7,7,11,11,11
36667430000,2,2,2,4,4,4
57203214547,7,14,14,14,16,16
12797780700,5,12,17,17,17,17
55724983500,2,5,5,5,5,7
56017345000,2,2,4,6,15,15
55820050100,3,3,5,6,6,6
7102466836,6,6,9,14,25,33
37002452100,16,16,17,17,17,21
55826590200,7,16,22,25,25,25
36142801900,12,12,12,12,12,12
55392045500,61,79,79,85,92,92
56215995200,2,7,15,18,26,26
7102862504,3,3,8,8,8,8
55816480200,3,3,3,3,3,7
55509299100,11,11,20,20,20,20
55536067100,2,2,2,2,2,2
55440990600,5,5,5,5,5,5
55695539700,4,4,5,5,5,5
55803983800,5,5,5,11,11,11
6602542060,7,7,13,13,13,13
35194373800,4,4,4,4,4,4
56209349900,6,6,6,6,6,6
55811173500,3,3,3,4,6,6
56028511900,6,6,6,6,6,6
56081656700,3,3,12,12,20,20
7006592741,10,10,10,10,10,10
38562240600,3,3,3,3,3,3
14007630800,21,21,21,21,21,21
35099997000,1,1,2,2,5,5
56026296000,26,26,26,26,26,26
56102487800,4,4,4,4,4,5
36634191100,1,1,1,1,1,1
28568010000,2,8,11,12,12,12
7006787992,6,15,28,28,32,41
56085010800,3,4,7,7,7,8
55886638200,2,3,3,3,3,3
36462749200,3,3,3,3,3,3
12792410200,4,4,4,4,4,9
7801570318,10,10,10,10,10,10
6603150925,11,11,23,23,27,27
16027863300,2,2,3,3,5,5
55816358100,1,1,1,1,1,4
56692457800,13,13,28,37,49,49
55789668800,2,4,4,4,4,5
55785700400,5,5,5,5,25,25
6602796822,9,20,20,20,20,20
55779533700,9,9,9,9,9,9
56347510600,3,3,3,3,4,4
22035319600,8,8,14,16,16,17
55617973800,5,5,5,5,5,5
56018084700,2,2,2,2,4,4
35316737800,3,3,3,5,5,7
55159681300,5,5,7,8,8,8
6701451043,3,3,3,3,3,3
54893322000,15,23,23,24,30,32
55811071800,2,2,8,11,19,22
55791250300,3,3,3,5,5,6
35105810100,2,2,2,2,23,23
7006435738,3,3,3,3,3,3
24766427900,4,4,4,4,4,4
36853245000,6,6,6,6,6,6
55747126700,3,3,3,3,3,4
55627743700,5,5,5,5,5,5
7006185284,34,34,34,34,34,34
55355846600,3,3,3,3,3,3
7402291387,4,4,4,4,11,11
55918506900,2,2,2,2,5,5
55803746300,3,3,3,3,7,7
6603409468,8,8,23,23,23,23
20336520000,4,4,4,4,4,5
7004550857,6,6,6,6,6,6
56122640500,4,4,4,4,4,4
6507930558,16,16,16,16,35,38
26633890000,1,1,1,4,5,5
36802024000,2,2,2,5,5,5
55819099500,3,6,6,9,11,11
56022559300,1,2,3,4,4,7
7004558835,11,11,11,11,11,11
7005258214,8,8,11,13,13,13
56023644400,2,2,2,2,2,10
55452791200,5,6,11,11,11,11
56178155600,4,4,5,8,17,22
16688445900,2,2,2,2,2,2
55859891300,1,2,2,2,4,4
8963476900,3,18,18,18,18,18
7004137881,5,7,13,17,18,18
24765414100,16,16,16,16,16,16
25122941600,3,9,10,10,14,14
36773616300,3,3,3,3,3,6
7102654323,6,6,6,6,6,6
24398421000,3,3,3,3,4,7
55290516300,30,30,30,30,30,30
25225352000,4,4,4,4,4,4
55639942300,5,9,9,9,13,13
54788257400,3,3,8,12,14,15
56016927500,1,2,2,3,4,4
55925238200,2,2,2,2,2,2
56038547000,8,13,17,22,25,25
23391134800,2,14,15,21,22,22
55520519800,8,8,8,8,8,8
24343508800,6,6,6,6,6,6
28367549700,3,5,5,8,8,8
56233002400,3,3,3,3,3,3
56027013600,3,3,3,3,9,9
56701835700,1,1,1,1,1,1
55821733600,4,4,6,6,8,10
55640267600,5,9,9,9,13,13
55876837900,9,9,24,33,38,38
57203255222,11,11,11,11,11,11
26645201200,2,5,5,5,5,5
12143483700,12,12,12,12,12,12
36169103800,3,7,8,11,11,11
6507161816,3,7,7,9,9,9
6603284353,16,19,24,33,38,56
54402626000,3,9,13,16,19,21
56020772800,4,4,4,4,7,7
56667498100,13,20,24,28,34,34
55014547900,5,5,5,5,5,5
55836009200,2,2,2,2,2,3
55817312800,4,4,4,4,9,18
24504127600,7,30,43,53,65,65
23390812200,5,5,5,8,8,8
55865357400,3,10,10,12,12,12
55816676700,4,4,4,4,4,4
55543094900,37,37,37,37,37,37
41761598800,3,3,6,7,7,7
56008236800,3,9,10,12,12,12
55262257900,2,2,2,2,2,2
48161172000,9,9,9,9,15,15
55634498100,4,6,7,7,8,8
55816414500,2,2,2,3,4,4
50462743200,8,10,21,29,38,42
55371593400,1,1,1,1,1,3
55891036200,4,10,12,13,13,13
56026515800,4,4,4,4,4,4
56200019700,3,3,3,3,8,8
7006430870,8,8,8,16,16,16
57194577397,3,3,3,3,3,5
55549988700,7,12,16,18,18,18
