Unnamed: 0,ID,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
60591,7004015097,1,1,1,1,1,1,2,3,3,3,4,7,7,11,11,11,11,13,13,13,15,16,16,21,23,23,23,1992
60611,7005573070,2,2,2,2,2,3,4,4,7,11,14,21,23,23,45,69,83,105,112,130,134,140,145,150,157,161,162,1992
61264,7003732167,3,3,4,7,10,10,10,13,18,28,28,34,35,38,38,38,38,38,38,40,40,40,40,42,43,43,44,1992
61570,7201740253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1992
61733,6603732898,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,11,11,11,11,14,14,15,1992
61809,6602707094,5,5,7,11,11,12,12,13,13,13,16,17,22,22,26,26,29,33,41,43,44,52,52,52,52,52,52,1992
62202,6603047398,1,1,1,1,1,1,1,1,9,10,12,12,15,15,15,15,19,19,19,20,25,30,30,30,30,30,30,1992
62327,22735261200,8,8,8,8,12,12,15,16,16,16,18,20,20,20,21,21,24,25,25,25,25,25,25,25,25,25,25,1992
62616,7006690890,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,17,17,17,17,19,20,24,44,1992
63034,6506655973,2,2,2,2,2,2,4,4,4,6,6,9,9,9,10,15,15,18,19,19,21,25,33,34,34,35,35,1992
63045,7005391459,2,3,3,3,3,3,4,5,5,6,6,7,7,7,8,9,12,16,26,29,30,33,34,35,36,36,36,1992
63139,6701750764,6,6,6,6,6,6,6,6,6,6,6,6,19,19,19,19,19,19,34,34,34,34,57,57,91,97,97,1992
63449,8609179300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,1992
63816,26643465900,3,3,3,4,6,7,7,7,7,8,9,10,10,10,10,11,11,12,12,12,12,14,14,14,16,17,18,1992
63840,55496021000,3,4,4,9,10,10,11,11,11,11,12,12,12,14,16,18,19,21,21,26,30,30,43,43,46,52,53,1992
64850,23396207600,2,2,2,5,5,8,10,10,10,12,12,12,12,12,12,13,16,17,17,17,18,19,19,20,25,25,25,1992
64871,6603682694,1,2,2,2,3,3,3,6,7,8,11,12,12,12,12,13,14,14,14,14,14,15,16,17,19,20,22,1992
64950,7004122281,1,1,1,3,4,5,5,5,10,10,14,16,19,20,26,26,32,35,43,45,52,52,62,68,71,72,72,1992
66237,7004636317,2,2,2,3,3,3,3,3,6,6,6,6,6,6,8,8,8,10,10,17,19,21,32,33,33,36,36,1992
66255,6603590532,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1992
66325,24765910100,2,2,2,2,2,2,2,3,4,4,8,8,8,17,17,20,22,26,29,29,30,30,31,31,31,31,31,1992
67608,6701717534,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1992
68099,7005443617,5,7,7,7,7,9,13,16,17,24,31,31,31,34,45,45,63,64,64,64,68,71,71,71,80,80,80,1992
68540,7202918709,27,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1992
68561,6602582469,1,1,2,2,2,3,3,3,3,3,3,3,8,8,8,10,10,10,10,10,11,14,14,19,20,22,22,1992
68565,7004297568,2,2,2,2,2,2,2,2,2,4,5,5,5,5,7,7,7,7,10,10,10,10,10,10,10,10,10,1992
68576,6602573135,2,2,5,5,5,5,5,5,7,7,11,11,11,11,11,11,11,12,12,22,22,22,25,25,25,30,30,1992
68922,35890702800,1,1,1,1,1,1,1,1,1,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1992
69259,7004727745,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,8,9,10,11,12,14,14,1992
69620,7103188418,8,8,8,10,13,14,15,15,17,17,18,20,22,27,27,28,30,31,31,32,32,42,42,45,47,56,64,1992
69894,6602627732,2,3,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,9,9,15,32,39,47,49,1992
69901,7003530628,4,4,4,4,4,9,11,11,13,13,13,13,13,15,15,15,15,15,20,36,36,36,36,36,36,36,36,1992
69957,35585371100,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1992
70052,7202826521,2,2,2,2,3,4,7,7,7,8,11,13,18,20,26,30,37,38,40,42,47,50,50,50,50,50,50,1992
70191,7103341975,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1992
70445,7005517989,15,15,17,20,22,24,24,24,24,24,24,36,36,36,36,42,42,45,52,52,57,69,69,72,96,112,115,1992
70986,7007101480,1,1,1,1,1,1,1,1,1,1,1,3,11,13,24,34,51,69,72,74,85,87,92,94,99,99,99,1992
