Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
23436,6701750645,8,10,10,10,10,10,10,10,10,10,10,10,10,2006
23497,24536696800,17,17,32,32,32,32,32,32,60,60,129,129,129,2006
23601,6701863975,3,3,4,4,4,4,4,4,4,4,4,6,6,2006
23649,14058034000,9,13,29,34,39,42,48,52,58,64,64,65,65,2006
23707,25225231100,3,3,7,8,8,8,8,8,8,11,13,13,13,2006
24024,16068393800,3,4,6,9,16,20,28,33,37,42,48,51,63,2006
24056,14319425400,4,5,7,8,9,9,9,11,17,17,17,17,22,2006
24275,6602134946,3,3,10,14,14,14,18,18,18,18,18,18,18,2006
24384,57189501756,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
24392,56279124200,2,3,3,3,3,3,3,5,5,8,11,11,11,2006
24574,56062195400,1,1,1,1,2,2,2,2,8,15,15,15,15,2006
24686,12752250800,3,8,8,8,10,10,10,10,10,10,10,10,10,2006
24692,22940641900,16,23,41,41,41,41,60,90,109,109,118,118,207,2006
24845,13613544100,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
24886,7005880979,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
24999,12344985300,4,8,8,11,14,18,18,23,25,30,33,33,33,2006
25137,7003932171,47,47,52,52,52,52,52,52,52,52,52,52,52,2006
25153,8572802800,1,1,1,2,2,2,2,5,5,5,16,25,30,2006
25203,55813501100,4,4,4,4,4,4,4,4,4,4,7,7,7,2006
25286,6701593372,6,6,11,11,11,11,11,11,11,17,21,21,21,2006
25318,7005732591,20,20,20,20,20,20,20,20,20,20,20,20,37,2006
25335,7003675910,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
25386,6701672359,65,65,65,65,65,65,181,181,226,226,266,266,350,2006
25464,14628887600,3,3,3,8,10,14,16,33,35,44,51,60,66,2006
25570,9132578700,2,3,4,4,4,4,4,6,6,6,8,8,11,2006
25575,6602112337,13,13,13,13,13,13,13,13,13,13,13,13,13,2006
25677,22941580700,36,36,69,69,87,104,109,138,148,148,150,150,153,2006
25793,24823848000,2,3,7,8,12,16,19,19,22,23,25,25,27,2006
26037,7003669750,3,3,4,4,4,10,12,15,26,29,37,42,45,2006
26052,23395785100,4,4,4,4,4,5,7,7,7,7,8,8,9,2006
26059,23093180300,1,1,1,1,1,1,5,5,5,5,14,20,22,2006
26069,12752185900,11,11,22,22,29,31,50,63,90,106,109,109,109,2006
26077,14630745200,51,51,75,84,94,94,133,133,138,138,233,233,271,2006
26084,12646017300,1,1,8,9,15,19,22,29,33,33,36,42,44,2006
26155,7003830455,4,4,4,4,4,4,4,5,5,5,5,6,6,2006
26281,13103714200,3,7,8,9,11,18,18,20,23,23,23,23,23,2006
26345,56510309600,3,3,3,6,7,7,7,7,7,12,12,12,12,2006
