Unnamed: 0,ID,2015,2016,2017,2018,start_year
2940,55918309900,2,2,3,4,2015
2980,56733079500,5,5,5,5,2015
2982,56727226800,4,4,4,4,2015
2987,56028057300,4,4,10,10,2015
3005,36084867200,3,3,3,3,2015
3006,57204285850,6,6,6,6,2015
3009,57195446634,4,4,4,4,2015
3015,57188827123,3,3,3,3,2015
3017,6508210681,36,36,36,36,2015
3027,6602882691,4,4,4,4,2015
3029,57170935400,2,2,2,2,2015
3036,55325203500,4,4,4,14,2015
3045,56529559400,2,2,15,23,2015
3048,36805461300,5,5,5,5,2015
3055,6505996444,2,2,2,2,2015
3065,9639614300,3,3,3,3,2015
3082,6603644460,5,5,5,5,2015
3084,54683520600,28,28,28,28,2015
3095,57156110400,4,4,4,11,2015
3096,56974483200,2,2,2,2,2015
3105,57118344200,4,4,4,4,2015
3110,55988648700,4,4,4,4,2015
3112,23974244200,3,3,3,3,2015
3118,57053396500,2,2,2,2,2015
3123,56012224200,6,6,6,6,2015
3126,56637498800,2,2,2,2,2015
3137,55665446200,18,18,18,18,2015
3139,55614031300,23,33,33,33,2015
3143,53867197100,3,3,3,3,2015
3144,36465401700,5,5,5,5,2015
3150,42062039500,6,6,6,6,2015
3152,37074805000,4,4,4,4,2015
3155,56154435800,4,4,4,4,2015
3171,23091478700,10,10,21,21,2015
3181,12647529900,18,18,18,18,2015
3186,57188687157,3,3,3,3,2015
3215,6507523627,5,5,5,5,2015
3216,35093804400,8,8,8,8,2015
3230,56563111200,19,19,19,19,2015
3243,54279418200,8,8,11,11,2015
3257,50860939700,25,25,25,25,2015
3271,26531057800,6,6,6,6,2015
3277,56781209400,6,6,6,6,2015
3284,57189521310,3,3,3,3,2015
3286,56906968700,4,4,4,4,2015
3287,7004498543,8,8,8,8,2015
3290,55816700100,4,4,4,4,2015
3313,55943142500,3,3,3,3,2015
3322,57023781900,6,6,6,6,2015
3329,55772354500,2,2,2,2,2015
3333,55817224200,6,6,6,6,2015
3336,21233564300,4,4,4,4,2015
3359,56683395900,16,16,16,16,2015
3365,57016479900,7,25,25,31,2015
3368,6504182600,5,5,5,5,2015
3375,56725224300,6,6,6,6,2015
3383,6603200295,4,9,9,10,2015
3385,56447123700,2,2,2,2,2015
3386,6506900999,3,5,5,5,2015
3389,7201352701,21,21,21,21,2015
3393,54404678400,3,3,3,3,2015
3394,56970539800,3,7,9,9,2015
3399,56461179400,3,5,5,7,2015
3416,56567681600,7,11,11,11,2015
3427,57188864150,2,2,2,5,2015
3433,57190254082,6,6,6,6,2015
3434,16232372100,12,12,12,12,2015
3439,35104285900,4,4,4,4,2015
3441,56613541600,2,2,2,3,2015
3451,57016027800,73,73,73,73,2015
3452,7401886758,5,5,5,5,2015
3455,55752084500,8,8,9,9,2015
3457,56897186300,5,5,5,5,2015
3471,56565590800,4,6,7,7,2015
3472,54379727600,3,3,3,3,2015
3481,56904199800,1,1,2,3,2015
3486,7003720673,7,7,7,7,2015
3490,46161172600,3,3,3,3,2015
3491,56535422700,6,6,6,6,2015
3497,57190796208,2,2,2,3,2015
3502,57188859924,1,1,1,1,2015
3510,56563084800,3,3,3,3,2015
3516,56281848400,3,3,3,3,2015
3519,54786314200,7,7,7,7,2015
3527,56897257000,10,10,10,10,2015
3530,55586220700,13,13,14,16,2015
3531,56564462200,5,5,5,5,2015
3557,36061547600,5,5,5,5,2015
3566,56896676500,3,3,3,3,2015
3570,7202774298,7,7,7,7,2015
3572,54896106800,6,7,8,8,2015
3581,56844436300,4,4,4,4,2015
3595,56182810200,2,2,6,6,2015
3597,57191712033,10,14,14,14,2015
3601,7102291655,2,2,2,2,2015
3604,56509373900,13,13,13,18,2015
3605,7102694878,4,8,8,8,2015
3610,56562658000,10,26,27,27,2015
3613,55696837800,4,4,4,4,2015
3628,57203082048,6,6,6,6,2015
3629,7006973731,11,11,12,12,2015
3637,57023811900,2,2,2,2,2015
3641,57195513027,5,6,6,6,2015
3642,55458888500,2,2,2,2,2015
3648,56707353100,2,2,2,2,2015
3652,57199337966,4,4,10,10,2015
3655,44260905000,20,20,20,20,2015
3656,56384531500,6,6,6,6,2015
3666,56181497000,8,8,8,8,2015
3669,55967782200,5,8,10,10,2015
3684,56742931400,2,2,2,2,2015
3708,55877664500,3,3,3,3,2015
3723,57190000495,2,2,2,3,2015
3735,56938406400,3,3,3,3,2015
3737,24342258300,106,106,106,106,2015
