Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
6081,36637712300,31,31,31,31,31,31,31,31,31,2010
6092,35239508800,4,4,4,4,4,4,4,4,4,2010
6094,55190698700,3,3,3,3,3,3,3,3,3,2010
6095,36174418300,4,4,4,4,4,4,4,4,4,2010
6110,40261489200,5,5,5,16,16,16,16,16,16,2010
6116,36805188500,4,6,9,9,14,16,19,20,20,2010
6146,24586883200,6,6,6,6,6,6,6,6,6,2010
6167,6602198986,50,50,50,50,50,50,50,50,50,2010
6173,8652841900,1,1,3,3,3,3,3,3,3,2010
6212,36014287400,77,77,77,77,77,77,77,77,77,2010
6222,7003870500,3,36,37,37,37,37,37,37,37,2010
6233,35068360700,3,5,5,5,6,6,6,6,6,2010
6277,24437900800,6,6,6,6,6,6,6,6,6,2010
6283,7005535093,5,7,7,7,10,10,10,10,10,2010
6287,55113186300,8,8,8,8,8,8,8,8,8,2010
6312,6602667266,2,2,2,2,2,2,2,2,2,2010
6361,57188863724,8,8,8,8,8,8,8,8,8,2010
6384,24469941000,8,8,8,11,11,11,11,11,11,2010
6394,14037373100,7,7,7,7,7,7,7,7,7,2010
6408,7004059567,9,9,9,9,9,9,9,9,9,2010
6413,6506121735,7,7,7,7,7,7,7,7,7,2010
6430,56530723700,6,6,6,6,6,6,6,6,6,2010
6463,36550214500,7,7,7,7,7,7,7,7,7,2010
6475,22733572900,3,3,3,4,7,12,15,15,15,2010
6538,7006895259,2,2,2,2,2,2,2,2,2,2010
6554,26433067100,6,6,6,6,6,6,6,6,6,2010
6558,12778919300,1,1,1,1,1,1,1,1,1,2010
6592,36550600100,2,2,6,6,6,8,8,8,12,2010
6615,22942264700,2,2,5,5,6,6,6,10,10,2010
6673,16638550400,50,50,50,50,50,50,50,50,50,2010
6685,36717888600,12,12,12,12,12,12,12,12,12,2010
6702,55531614500,6,6,14,14,14,14,14,14,14,2010
6704,56611158300,2,2,2,2,2,6,6,6,6,2010
6715,26422552900,75,75,75,75,75,75,75,75,75,2010
6731,23475934100,3,3,3,3,3,3,3,3,3,2010
6768,57199018299,2,2,2,2,2,2,2,2,2,2010
6769,6507259351,12,12,12,12,12,15,15,15,15,2010
6804,55962573100,2,3,3,3,3,3,3,3,3,2010
6806,22955551000,5,5,5,5,5,5,5,5,5,2010
6829,36194737100,3,3,3,3,3,3,3,3,3,2010
6837,36718347000,2,2,2,2,2,2,3,3,3,2010
6864,37022678700,16,28,29,30,30,30,30,30,30,2010
6871,35309628600,3,4,4,4,4,4,4,4,4,2010
6892,25723194400,4,4,4,4,4,7,10,10,11,2010
6923,36809599300,2,2,2,2,2,5,5,5,5,2010
6939,34969420100,3,3,3,3,3,3,3,3,3,2010
6951,36677214400,10,10,10,10,10,15,15,18,22,2010
7002,37079374100,37,37,37,37,37,37,37,37,37,2010
7015,55296965300,7,7,7,7,7,7,7,7,7,2010
7032,35070983600,10,22,29,36,36,36,62,76,109,2010
7051,55389597800,5,5,5,5,5,5,5,5,10,2010
7067,23988562300,3,3,3,3,3,3,3,3,3,2010
7070,55886483100,7,10,15,22,23,29,29,31,35,2010
7096,36110777300,7,14,14,14,14,14,14,14,14,2010
7126,36614081600,5,5,5,5,5,5,5,5,5,2010
7184,36894535700,4,4,4,4,4,4,4,4,4,2010
7200,35306509400,2,2,2,2,2,2,2,2,2,2010
7211,35408561800,3,3,3,3,3,3,3,3,3,2010
7220,35955696900,3,3,3,3,3,3,3,3,3,2010
7233,36809559100,2,2,2,2,2,2,2,2,2,2010
7250,24725809400,3,5,5,6,10,15,15,15,15,2010
7251,8730615800,4,4,4,4,7,7,7,7,7,2010
7252,57193333155,38,38,38,38,38,38,38,38,38,2010
7258,36459504700,4,4,4,4,4,4,4,4,4,2010
7259,7004150540,13,13,13,13,13,13,13,13,20,2010
7278,36695884300,1,1,3,3,3,3,3,3,3,2010
7289,23669121900,7,30,53,55,57,57,57,57,57,2010
7328,6603176261,45,45,45,45,45,45,45,45,45,2010
7345,6701504561,1,1,1,1,1,1,1,1,1,2010
7402,7003964993,4,4,4,4,4,4,4,4,4,2010
7415,23008936200,13,13,28,28,28,28,28,28,28,2010
7465,36945121300,6,6,11,19,24,25,25,25,25,2010
7485,23101926200,4,4,4,4,4,4,4,4,4,2010
7517,36608986900,2,2,2,2,2,5,5,5,5,2010
7518,35070197200,12,12,12,12,12,12,12,12,12,2010
7574,24347209300,4,4,4,4,4,4,4,4,4,2010
7575,23974243600,2,2,2,2,2,2,2,2,2,2010
7577,36731142800,7,7,7,7,7,7,7,7,7,2010
7587,35783549100,9,9,9,9,9,9,9,9,9,2010
7608,36166384300,2,2,2,2,2,2,2,2,2,2010
7612,8709167200,10,10,10,10,10,10,10,10,10,2010
7625,57192490105,5,5,5,5,5,5,5,5,5,2010
7627,14821827400,3,3,3,3,3,3,3,3,3,2010
7634,52663410800,5,8,8,8,8,8,8,8,8,2010
7653,12139516100,1,1,3,4,4,4,4,4,7,2010
7666,17434505500,13,13,13,13,13,13,13,13,13,2010
7673,27067710700,3,3,3,3,3,3,3,3,3,2010
7751,56363595900,10,10,10,10,10,10,10,10,10,2010
7752,55361268900,5,5,5,5,5,5,5,5,5,2010
7764,36615250500,9,9,11,11,11,11,11,11,22,2010
7781,18435429700,2,3,3,5,5,5,5,5,5,2010
7783,7101685848,8,8,8,8,8,8,8,8,8,2010
7791,36181885100,6,6,6,6,6,6,6,6,6,2010
7799,8700887100,9,9,9,9,9,9,9,9,9,2010
7814,6701858508,42,42,42,42,42,42,42,42,42,2010
7827,6603747650,7,7,13,13,13,13,13,13,13,2010
7832,36634558400,5,5,5,5,5,5,5,5,5,2010
7833,7003330876,16,16,16,16,16,16,16,16,16,2010
7892,36470535900,3,3,4,4,4,4,4,4,4,2010
7916,23020305500,5,5,5,5,5,5,5,5,5,2010
7925,6603586695,1,1,1,3,4,4,4,4,4,2010
7937,57197095605,4,4,4,4,4,4,4,4,4,2010
7964,36094554400,5,7,7,9,10,10,10,10,10,2010
7967,56042951500,4,4,4,4,4,4,4,4,4,2010
7969,14025028400,3,3,3,3,3,3,3,3,3,2010
7978,24724196100,22,22,22,22,22,22,22,22,22,2010
7998,55355402500,1,1,1,1,2,2,2,2,2,2010
8019,36801746800,4,4,4,4,4,4,4,4,4,2010
8040,35078417100,2,5,5,5,5,5,5,5,5,2010
8071,55711435300,2,2,2,2,2,2,2,2,2,2010
8088,7005592376,6,6,6,6,6,6,6,6,6,2010
8136,57202975587,6,6,6,6,6,6,6,6,6,2010
8137,8728577100,13,13,13,13,13,21,21,21,21,2010
8146,35956234500,3,3,3,3,3,3,3,3,3,2010
8156,23477459400,10,10,10,10,10,10,10,10,10,2010
8161,36473215300,10,10,10,10,10,10,10,10,10,2010
8176,55499446100,6,6,6,6,6,6,6,6,6,2010
8206,55574205799,5,5,5,5,5,5,5,5,5,2010
8219,6603034448,31,31,31,31,31,31,31,31,31,2010
8246,6603334839,3,3,3,3,3,3,3,3,3,2010
8262,36662014300,4,4,4,4,4,4,4,4,4,2010
