Unnamed: 0,ID,2016,2017,2018,start_year
7232,57192915370,7,8,8,2016
7234,7004314308,16,16,16,2016
7244,12789193200,4,4,4,2016
7264,6506487126,5,5,5,2016
7275,56374507600,5,5,5,2016
7288,15923534300,10,10,10,2016
7291,9942178300,65,65,65,2016
7299,55546555800,10,10,10,2016
7309,57202274286,7,7,7,2016
7315,57190382173,1,1,1,2016
7329,55142418600,4,8,8,2016
7354,7003955061,30,30,30,2016
7371,56490138600,3,3,3,2016
7418,56488048500,5,5,5,2016
7422,6602599801,17,17,17,2016
7429,57194234929,2,2,2,2016
7431,57170712200,9,12,12,2016
7432,57194943768,3,3,3,2016
7433,57189643076,24,24,24,2016
7439,16425472800,6,6,6,2016
7443,7003572338,3,3,3,2016
7448,20735850600,8,8,8,2016
7466,56077663300,3,4,4,2016
7468,57204344836,74,74,74,2016
7471,57190300832,5,5,5,2016
7496,6603336167,3,3,3,2016
7537,57188570126,2,2,2,2016
7541,57196010350,2,2,2,2016
7568,7102960632,29,29,91,2016
7570,57193017253,3,3,3,2016
7578,57192088361,5,5,5,2016
7591,57110303000,10,10,10,2016
7594,55975147200,136,140,156,2016
7598,57192170320,1,1,1,2016
7629,57190682797,4,7,8,2016
7639,57190400501,3,3,3,2016
7641,57192639518,3,4,4,2016
7656,57192668492,82,82,82,2016
7682,8564714900,12,12,12,2016
7695,23989372200,72,72,79,2016
7699,6701448626,17,17,68,2016
7703,56654819700,3,3,3,2016
7713,15926020900,4,4,4,2016
7719,6602491428,11,11,11,2016
7720,57189244512,6,6,6,2016
7723,57022810500,5,5,5,2016
7728,56835301200,3,6,8,2016
7733,55986214300,4,4,4,2016
7765,57189987280,3,3,3,2016
7770,57191196391,8,14,14,2016
7834,57192576568,87,87,140,2016
7841,53664350300,27,27,47,2016
7865,55660948300,43,43,49,2016
7868,56835902600,4,4,5,2016
7889,24774245400,74,74,152,2016
7897,57188877532,8,8,8,2016
7899,35772352300,6,6,6,2016
7904,36142040100,81,81,81,2016
7907,57191259101,5,5,5,2016
7908,57192206661,35,35,35,2016
7917,7005909381,82,82,82,2016
7918,15065991500,20,20,20,2016
7954,56022619800,15,15,15,2016
7962,6507813547,2,2,2,2016
7965,6603781914,4,4,4,2016
7971,36909785900,6,6,6,2016
7973,9240008000,3,3,3,2016
7974,57188756521,5,5,5,2016
7986,56093512100,10,10,10,2016
8009,8558344700,54,54,54,2016
8024,56595080000,4,26,27,2016
8030,15768729100,24,24,32,2016
8079,57191248503,3,3,3,2016
8083,57057585300,3,3,3,2016
8102,57190861784,1,1,1,2016
8118,25929004100,2,2,4,2016
8157,57188768831,3,3,3,2016
8203,56422753600,4,4,5,2016
8235,14023521200,9,9,9,2016
8247,57195599668,1,1,1,2016
8260,56593140300,3,3,6,2016
8270,55985819700,4,4,4,2016
8278,7501706525,26,26,26,2016
8299,16024739000,5,5,5,2016
8305,6603261832,111,111,147,2016
8324,6701763014,13,13,13,2016
8332,56302937500,2,3,3,2016
8338,55747288900,5,5,5,2016
8343,57190857557,3,9,9,2016
8360,56563124100,5,5,5,2016
8364,57191851960,3,3,3,2016
8367,7004207954,5,5,5,2016
8370,8560165000,1,4,9,2016
8376,57201194693,15,15,15,2016
