Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
4290,7006306054,5,11,11,11,11,11,11,68,68,68,68,68,2007
4311,7007152623,3,3,3,3,3,3,3,3,3,3,3,3,2007
4312,25927140900,4,4,4,4,4,4,4,4,4,4,4,4,2007
4315,7401929029,3,3,3,3,4,4,4,4,4,4,4,4,2007
4320,7103253312,8,10,22,22,22,22,22,22,22,22,22,22,2007
4325,57196703052,1,1,2,2,2,2,2,2,2,2,2,2,2007
4329,23010562700,43,43,43,43,43,43,43,43,43,43,43,43,2007
4379,6701523620,6,6,6,6,6,6,6,6,6,6,6,6,2007
4423,6507583953,9,9,9,9,9,9,12,12,12,12,12,12,2007
4467,7102890924,4,4,4,4,7,7,7,19,19,19,19,19,2007
4496,16548896600,2,4,7,12,17,20,22,29,39,45,50,54,2007
4498,24470146400,3,3,3,3,3,3,3,3,3,3,3,3,2007
4509,7403462856,29,37,37,37,37,37,37,37,37,37,37,37,2007
4561,23397945300,2,2,2,2,2,2,2,2,2,2,2,2,2007
4577,9746738100,7,7,7,7,7,7,7,7,7,7,7,7,2007
4619,35778848600,7,7,7,7,7,7,7,7,7,7,7,7,2007
4628,23980170200,15,15,15,15,15,15,35,35,38,38,53,60,2007
4633,55879166700,2,7,12,12,14,14,14,18,24,24,24,27,2007
4638,16417177100,5,5,5,5,5,5,5,5,5,5,5,5,2007
4651,24721189500,5,5,5,5,5,5,5,5,5,5,5,5,2007
4706,24450759500,6,6,6,6,6,6,6,6,6,6,6,6,2007
4723,23092275800,4,4,4,4,4,4,4,4,4,4,4,4,2007
4738,55916556200,4,4,4,4,4,4,4,4,4,4,4,4,2007
4803,16550212200,5,8,11,11,11,11,11,14,14,14,14,14,2007
4810,55089588600,4,4,4,4,4,4,4,4,4,4,4,4,2007
4815,6603646979,3,3,4,9,13,14,41,50,52,55,55,55,2007
4817,23389662800,3,3,3,3,3,3,3,3,3,3,3,3,2007
4852,23398240500,4,4,4,4,4,4,4,4,4,4,4,4,2007
4921,12646293400,54,54,54,54,54,54,54,54,54,54,54,54,2007
4976,55960102700,3,3,3,6,6,6,6,6,6,6,6,7,2007
4982,22333948000,3,4,6,6,6,6,6,6,6,11,11,14,2007
5010,15830054000,4,4,4,4,4,4,4,4,4,4,4,4,2007
5051,55513537700,3,3,3,4,4,4,4,4,4,4,4,4,2007
5101,23097433600,1,5,11,11,11,16,17,17,28,32,36,42,2007
5158,9633196200,6,12,16,26,32,43,52,52,59,59,72,88,2007
5162,36514332800,7,7,7,7,7,7,7,7,7,7,7,7,2007
5207,24723887700,3,5,5,5,5,5,5,5,5,5,5,5,2007
5235,55204661300,2,2,5,5,5,5,5,5,5,5,5,5,2007
5271,35206376500,2,2,2,2,2,2,2,2,2,2,2,2,2007
5275,24450042100,2,2,2,2,2,2,2,2,2,2,2,2,2007
5327,22636349700,17,17,17,17,17,17,17,17,17,17,17,17,2007
5331,23484311500,4,4,4,4,4,4,4,4,4,4,9,9,2007
5339,23091224200,5,5,5,5,5,5,5,5,5,5,5,5,2007
5353,55218248600,6,6,6,6,6,6,6,6,6,6,6,6,2007
5355,24070361300,3,3,4,4,4,10,10,10,12,14,15,16,2007
5385,56941303500,3,3,3,3,3,3,3,3,3,3,3,3,2007
5402,7401509098,2,6,6,8,8,8,8,12,12,12,12,12,2007
5427,15131540700,1,1,2,6,6,11,14,14,16,16,16,16,2007
5446,24464996300,2,2,2,2,2,2,2,2,2,2,2,2,2007
5454,36482930700,1,1,1,1,1,1,1,1,1,1,1,1,2007
5465,23996160900,1,1,12,12,12,12,12,12,12,17,17,17,2007
5466,57203194876,3,3,3,4,4,8,8,10,10,14,14,14,2007
5484,57198614820,3,3,3,3,3,3,3,3,3,3,3,3,2007
5510,25929152800,4,5,5,5,5,5,5,5,5,5,5,5,2007
5522,6505876443,3,3,3,3,3,3,3,3,3,3,3,3,2007
5524,23389701800,3,3,3,3,3,3,3,3,3,3,3,3,2007
5567,7005518814,1,1,1,1,1,1,1,1,1,1,1,1,2007
5635,55954250000,2,2,4,4,4,4,4,4,4,7,7,7,2007
5658,16068027400,2,3,4,4,4,4,7,8,8,8,8,8,2007
5690,55754806800,3,3,3,3,3,3,3,3,3,3,3,3,2007
5719,6603227465,2,2,2,2,2,2,2,2,2,2,2,2,2007
5738,7003444839,4,4,4,4,7,7,7,7,7,7,7,10,2007
5750,23477109300,2,5,5,5,5,5,11,14,14,16,16,16,2007
5770,8121222300,2,2,2,2,2,2,2,2,2,2,2,2,2007
5785,25823324200,4,4,4,25,25,25,25,25,25,25,25,25,2007
5857,6602889483,16,32,32,32,32,32,32,32,32,32,32,32,2007
5894,25031859300,3,3,3,3,3,7,7,10,10,10,10,15,2007
5920,23466583200,2,2,2,2,2,2,2,2,2,2,2,2,2007
5934,24724013200,4,4,4,4,4,4,4,4,4,4,4,4,2007
5937,56070676900,2,4,4,4,4,9,9,12,12,12,17,17,2007
5951,6507385601,2,2,2,2,2,2,2,2,2,2,2,2,2007
5991,36809147500,2,2,2,4,4,4,4,4,4,4,4,4,2007
6099,26435958500,5,5,5,5,5,5,5,5,5,5,5,5,2007
6105,23398391400,1,1,3,4,4,4,7,7,7,7,10,12,2007
6116,23111619000,3,3,3,3,3,3,3,3,3,3,3,3,2007
6156,7801412368,1,1,1,1,1,1,1,1,1,1,1,1,2007
6168,26039350700,1,1,1,1,2,2,2,2,2,2,3,5,2007
6295,27367817800,8,8,9,11,13,13,13,13,13,13,13,13,2007
6304,7201541897,1,3,3,5,7,18,21,26,26,26,27,34,2007
6316,16240990400,4,7,7,11,11,11,11,11,11,11,11,11,2007
