Unnamed: 0,ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5204,55726722000,12,12,58,58,84,84,104,113,113,113,150,150,150,150,150,150,150,2002
5231,7801443147,4,4,4,4,4,4,7,10,10,11,11,11,11,11,11,11,11,2002
5245,6508336428,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
5266,35612460300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
5293,7007123513,17,17,17,17,17,17,17,17,37,37,37,37,37,37,37,37,37,2002
5323,7401813691,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2002
5345,55993970100,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2002
5353,7004338350,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2002
5374,7005016198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
5397,15749538700,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2002
5400,24176442400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
5404,57190555223,6,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,2002
5433,35864948100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2002
5436,55446864200,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
5449,6603644981,7,7,7,7,7,9,9,9,9,9,9,11,11,11,11,14,14,2002
5457,7006680367,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
5536,36671543700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
5553,56250233400,3,3,3,7,8,8,8,9,9,9,9,9,9,9,11,11,11,2002
5592,6602102064,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2002
5624,57191987596,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2002
5635,7101973073,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2002
5729,57196493042,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
5730,7801382806,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2002
5736,7005366123,23,23,23,23,23,23,23,23,81,81,81,81,81,81,81,81,81,2002
5748,6602896096,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
5753,57196349744,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,18,2002
5805,35935999200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
5866,6602408074,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
5904,55933213100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
5926,6506671060,6,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2002
5982,6504801269,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,6,2002
5987,13105770600,3,3,3,8,8,9,9,9,9,9,9,12,12,12,12,12,12,2002
5994,7101898180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
6071,23033710900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
6080,6603539740,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
6100,6603000034,15,15,15,15,15,15,15,15,15,15,15,15,15,15,43,43,102,2002
6103,6508151731,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
6187,6602696050,7,7,7,7,7,7,7,7,7,7,13,13,13,13,13,19,19,2002
6252,57041064700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
6348,16232190100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
6385,35519450600,9,9,9,9,9,12,14,14,14,14,14,19,19,21,24,27,27,2002
6427,6603575928,6,15,15,15,15,19,19,19,41,50,50,50,50,60,60,60,60,2002
6430,7102508647,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,2002
6434,55990666200,4,4,5,5,5,5,6,6,11,12,14,15,19,19,24,25,25,2002
6439,57194083718,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2002
6508,6507514355,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2002
6515,22947938300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
6534,6701478491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
6548,35464300200,5,5,5,5,5,15,15,15,21,21,21,21,21,21,21,21,21,2002
6558,7004325905,7,7,7,25,26,26,26,26,26,26,26,26,26,26,26,34,34,2002
6631,14822080000,7,7,7,7,14,14,14,14,14,14,14,14,14,14,14,14,14,2002
6652,55963716300,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
6657,14824599200,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
6691,35482565400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
6701,7003819403,4,5,6,6,8,8,10,10,10,11,12,13,13,14,16,16,16,2002
6807,57124697000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
6812,7003587775,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
6848,7006399524,40,40,45,45,55,55,64,64,64,64,64,64,64,64,64,64,64,2002
6861,24767134700,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2002
6902,7006973471,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
7016,57063136000,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
7028,7101920638,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
7060,22034907700,2,2,2,2,2,2,2,2,4,4,4,4,6,11,17,17,22,2002
7073,57203052268,3,5,5,5,5,8,8,12,12,12,12,12,12,12,14,14,14,2002
7133,6506734202,2,2,2,2,2,2,2,2,2,2,6,6,7,7,7,7,7,2002
7222,14833408400,12,12,20,20,111,111,116,116,129,129,129,129,190,190,190,190,203,2002
7224,7004923468,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2002
7299,35579634600,25,25,31,31,31,31,31,31,31,31,31,31,43,43,43,43,43,2002
7301,16442401600,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
7330,6603832350,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,2002
7340,6602740640,6,7,8,8,8,8,8,8,8,8,11,11,14,14,14,14,14,2002
7359,7005084924,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
7380,26537220400,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2002
7406,7102602004,21,21,63,63,104,104,104,112,142,142,145,145,149,149,149,149,149,2002
7422,6603889809,4,4,4,4,4,8,8,8,8,8,8,8,8,8,21,21,21,2002
7435,26660331900,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
7489,6701830839,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
7526,8915900700,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
7583,6701707323,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
7592,7005142422,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,8,2002
7596,7003957850,7,7,7,7,7,7,7,11,15,15,18,18,18,20,21,21,30,2002
7618,6701501292,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
7628,6506391653,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
7686,7006600686,23,23,23,23,23,23,23,23,23,23,23,79,79,79,79,79,79,2002
7700,6507308907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
7712,6603211354,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
7739,7102809515,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2002
7761,7004085922,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2002
7788,35371932100,25,25,47,55,89,89,89,89,89,89,89,89,89,89,89,89,89,2002
7858,6506107338,1,1,5,5,5,5,5,11,11,11,11,18,24,24,24,24,24,2002
7876,6603140066,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
7884,56158311500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
7886,57203078900,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
7898,7005629238,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
7930,56891770800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
8016,7006609289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
8028,7501609184,2,2,2,3,4,7,11,12,12,13,15,15,16,17,17,19,23,2002
8035,57018836100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
