Unnamed: 0,ID,2018,start_year
4723,6508371419,2,2018
4737,57200599475,4,2018
4747,57205923332,34,2018
4780,57197824813,5,2018
4829,57201994654,2,2018
4849,57203768525,9,2018
4864,18635282000,2,2018
4870,55845025700,3,2018
4886,16025538500,13,2018
4901,57203278305,3,2018
4906,54781118300,5,2018
4918,57197810288,4,2018
4945,57204826667,1,2018
4948,57200919716,2,2018
4950,55630895700,16,2018
4953,57188803437,9,2018
4957,22836461800,3,2018
4962,36871478800,9,2018
4974,7801565502,2,2018
4975,57201473311,3,2018
4979,37079139000,6,2018
4980,57201983477,4,2018
5021,7005738503,3,2018
5025,57203764092,60,2018
5027,57204470634,4,2018
5028,57204663937,4,2018
5029,57189354301,18,2018
5030,56342530800,8,2018
5038,57202712388,2,2018
5087,57196000589,9,2018
5091,57202326775,2,2018
5094,57203204858,5,2018
5110,57202604806,3,2018
5119,57203903039,4,2018
5132,55327115700,2,2018
5143,57205292546,3,2018
5151,55988558400,8,2018
5165,57205533917,4,2018
5173,57204648021,3,2018
5208,57204042592,3,2018
5234,57203987824,6,2018
5242,57195741762,6,2018
5243,57203305399,6,2018
5272,57192383102,3,2018
5273,55904478000,3,2018
5283,57205203721,4,2018
5311,57202136892,11,2018
5325,57206429454,3,2018
5328,36117960200,3,2018
5331,56663240700,5,2018
5332,7006440031,19,2018
5340,57204805873,4,2018
5348,7005278615,17,2018
5390,57203967144,3,2018
5399,23008286600,35,2018
5407,57206865798,3,2018
5411,57202333964,4,2018
5420,36665225400,5,2018
5425,57202323416,4,2018
5438,57197545477,11,2018
5456,7102461199,4,2018
5469,57204037892,11,2018
5473,56889161200,19,2018
5475,55888052800,15,2018
5480,35078725100,4,2018
5494,13007927600,2,2018
5499,57203015555,6,2018
5524,6507347450,6,2018
5528,57204596523,14,2018
5529,7003349591,5,2018
5533,56500550700,2,2018
5544,55654236000,5,2018
5592,57204974606,5,2018
5595,8623804500,5,2018
5602,7003597567,4,2018
5604,57193918159,7,2018
5625,57203009263,44,2018
5636,57207409386,6,2018
5664,57195266350,4,2018
5705,11139215000,4,2018
5711,57204017410,3,2018
5726,22933573900,3,2018
5739,56902239600,3,2018
5743,57195471209,4,2018
5750,57202329250,2,2018
5758,55911828400,2,2018
5760,56943475000,4,2018
5790,57194342810,6,2018
5812,57193328440,18,2018
5816,57204114528,4,2018
5819,56495494400,8,2018
5820,56839308600,3,2018
5835,6701378164,8,2018
5845,57205271746,4,2018
5846,55030090300,4,2018
5857,36552726100,14,2018
5888,57203506469,1,2018
5889,57205101017,3,2018
5899,57193391293,4,2018
5909,57201197733,7,2018
5916,6602349090,9,2018
5932,7004199220,9,2018
5952,57197104232,5,2018
5953,57201431607,48,2018
5966,57205230408,4,2018
5997,8917377400,7,2018
6012,57202817603,2,2018
6032,54279606800,1,2018
6033,12782333500,3,2018
6034,55633909500,12,2018
6035,37010609400,8,2018
6042,57193135486,6,2018
6043,57204047566,2,2018
6071,56189709300,5,2018
6086,57206664937,3,2018
6089,57203015858,2,2018
6121,23988405500,9,2018
6163,57194507246,2,2018
6172,56242206700,53,2018
6183,56487920700,14,2018
6207,57203509463,46,2018
6238,23981413900,1,2018
6239,57201552066,4,2018
6242,25621903300,8,2018
6246,55630534100,8,2018
6252,56592757700,2,2018
6277,35332819600,43,2018
6280,57205548764,3,2018
6284,57190942021,8,2018
6295,25638856600,3,2018
6297,57205587028,3,2018
6301,6603224344,43,2018
6312,57203139038,5,2018
6328,57204834154,3,2018
6338,56453549300,14,2018
6340,6504210411,10,2018
6348,23006800500,6,2018
6373,55218469100,15,2018
6388,57188689712,6,2018
6403,57188639894,8,2018
6410,57203959929,6,2018
6433,57203900246,10,2018
6449,57203549174,3,2018
6458,57205074742,20,2018
6461,57205117091,9,2018
6471,57203227238,3,2018
6473,57189683123,7,2018
6482,7101688414,11,2018
6496,57197846381,3,2018
6502,57203758707,5,2018
6503,35184068400,28,2018
6511,57202236543,3,2018
6513,36476277500,7,2018
6522,56056394000,5,2018
6537,57204394230,4,2018
6549,57201619244,17,2018
6583,57201901457,10,2018
6623,57205024534,4,2018
6634,6507726984,84,2018
6640,57188862333,2,2018
6645,57203168439,13,2018
6710,54793074500,3,2018
6733,7003938340,16,2018
6764,6701848773,51,2018
6772,55330189900,4,2018
6773,55321177600,4,2018
6788,57195638899,4,2018
6803,57203057375,76,2018
6845,57198456206,2,2018
6856,7004234541,6,2018
6868,57202903272,3,2018
6869,57202962599,3,2018
6913,8923615700,5,2018
6938,16040271600,3,2018
6955,57203899160,1,2018
6957,56593167300,3,2018
6976,57201373291,3,2018
6979,57203508458,2,2018
6980,57201782431,4,2018
6986,7006370827,4,2018
6994,57207590927,6,2018
7005,36050889800,16,2018
7009,57203391367,4,2018
7010,57205417713,2,2018
7045,57203005149,4,2018
7048,57204113039,1,2018
7052,57202497414,3,2018
7057,25122164700,3,2018
7058,57191163380,2,2018
7065,20734367900,4,2018
7088,57202747381,1,2018
7090,56025165200,6,2018
7111,35119420200,24,2018
7112,57201292192,8,2018
7154,57205696107,3,2018
7160,57203305404,4,2018
7164,57201318742,5,2018
7165,37029920600,3,2018
7172,57202496674,4,2018
7177,57203679230,18,2018
7193,6603621358,14,2018
7203,57200993506,5,2018
7206,35742243600,4,2018
7231,8502219100,49,2018
7247,22135839100,2,2018
7272,7103316116,4,2018
7287,55882561500,14,2018
7299,57203303911,5,2018
7320,26326905600,8,2018
7322,57206374710,4,2018
7342,7003800145,5,2018
7343,57201617240,5,2018
7348,57188733665,2,2018
7366,22981009700,3,2018
7372,57203991867,3,2018
7399,57189691336,3,2018
7419,57201524262,9,2018
7444,57188061400,3,2018
7467,24068628000,2,2018
7472,57195179466,13,2018
7474,57202575714,4,2018
7482,42662165800,11,2018
7483,57194203020,3,2018
7485,8247734500,1,2018
7487,57204737375,3,2018
7505,57201353058,6,2018
7507,35435411000,1,2018
7508,6603899554,10,2018
7548,57196708596,28,2018
7549,57204934154,3,2018
7567,26653957300,4,2018
